INPUT	ALLMB
Tecticornia_halocnemoides	Tecticornia_halocnemoides_subsp._halocnemoides
Tecticornia_halocnemoides	Tecticornia_halocnemoides_subsp._longispicata
Tecticornia_indica_(especially_subsp._bidens)	
Tecticornia_lepidosperma	Tecticornia_lepidosperma
Tecticornia_leptoclada	Tecticornia_leptoclada_subsp._inclusa
Tecticornia_lylei	Tecticornia_lylei
Tecticornia_medullosa	
Tecticornia_monoliformis	
Tecticornia_nitida	
Tecticornia_peltata	Tecticornia_peltata
Tecticornia_pergranulata	Tecticornia_pergranulata_subsp._pergranulata
Tecticornia_pergranulata	Tecticornia_pergranulata_subsp._elongata
Tecticornia_plurifolia	
Tecticornia_pruinosa	Tecticornia_pruinosa
Tecticornia_pterygosperma	Tecticornia_pterygosperma_subsp._pterygosperma
Tecticornia_syncarpa	Tecticornia_syncarpa
Tecticornia_tenuis	Tecticornia_tenuis
Tecticornia_triandra	Tecticornia_triandra
Tecticornia_undulata	Tecticornia_undulata
Traganopsis_glomerata	
Traganum_moquini	Traganum_moquini
Traganum_nudatum	Traganum_nudatum
Xylosalsola_arbuscula	Xylosalsola_arbuscula
Xylosalsola_chiwensis	Xylosalsola_chiwensis
Xylosalsola_paletzkiana	Xylosalsola_paletzkiana
Xylosalsola_richteri	Xylosalsola_richteri
Bupleurum_dianthifolium	Bupleurum_dianthifolium
Bupleurum_dracaenoides	Bupleurum_dracaenoides
Bupleurum_fruticescens	Bupleurum_fruticescens_subsp._spinosum
Bupleurum_fruticescens	Bupleurum_fruticescens_subsp._fruticescens
Bupleurum_handiense	Bupleurum_canescens_var._handiense
Bupleurum_salicifolium	Bupleurum_salicifolium
Daucus_decipiens	Daucus_decipiens
Daucus_edulis	Daucus_edulis
Daucus_tenuissimus	Daucus_tenuissimus
Eremocharis_confinis	Eremocharis_confinis
Eremocharis_fruticosa	Eremocharis_fruticosa
Eremocharis_hutchinsonii	
Eremocharis_integrifolia	Eremocharis_integrifolia
Eremocharis_piscoensis	Eremocharis_piscoensis
Eremocharis_triradiata	Eremocharis_triradiata
Eryngium_bupleuroides	Eryngium_bupleuroides
Eryngium_fernandezianum	Eryngium_fernandezianum
Eryngium_inaccessum	Eryngium_inaccessum
Eryngium_sarcophyllum	Eryngium_sarcophyllum
Gymnophyton_flexuosum	Gymnophyton_flexuosum
Gymnophyton_foliosum	Gymnophyton_foliosum
Gymnophyton_isatidicarpum	Gymnophyton_isatidicarpum
Gymnophyton_polycephalum	Gymnophyton_polycephalum
Gymnophyton_robustum	Gymnophyton_robustum
Gymnophyton_spinossissimum	
Marlothiella_gummifera	Marlothiella_gummifera
Myrrhidendron_donnellsmithii	Myrrhidendron_donnell-smithii
Myrrhidendron_maxonii	Myrrhidendron_maxonii
Nirarathamnos_asarifolius	Nirarathamnos_asarifolius
Rughidia_milleri	Rughidia_milleri
Tornabenea_bischoffii	Tornabenea_bischoffii
Asclepias_albicans	Asclepias_albicans
Asclepias_subaphylla	Asclepias_subaphylla
Calciphila_gillettii	Calciphila_gillettii
Calotropis_gigantea	Calotropis_gigantea
Calotropis_procera	Calotropis_procera
Cynanchum_alternilobum	
Cynanchum_blyttioides	Cynanchum_blyttioides
Cynanchum_floribundum	Cynanchum_floribundum
Cynanchum_graphistemmatoides	
Cynanchum_hastifolium	Cynanchum_hastifolium
Cynanchum_hooperianum	
Cynanchum_leptolepis	
Cynanchum_meyeri	Cynanchum_meyeri
Cynanchum_pulchellum	
Cynanchum_rubricoronae	Cynanchum_rubricoronae
Diplolepis_menziesii	Diplolepis_menziesii
Ditassa_auriflora	Ditassa_auriflora
Ditassa_fasciculata	Ditassa_fasciculata
Ditassa_hastata	Ditassa_hastata
Ditassa_pedunculata	Ditassa_pedunculata
Ditassa_retusa	Ditassa_retusa
Ditassa_subumbulata	
Hoya_bella	Hoya_bella
Hoya_carnosa	Hoya_carnosa
Hoya_chinghungensis	Hoya_chinghungensis
Hoya_ciliata	Hoya_ciliata
Hoya_corymbosa	Hoya_corymbosa
Hoya_cumingiana	Hoya_cumingiana
Hoya_densifolia	Hoya_densifolia
Hoya_engleriana	Hoya_engleriana
Hoya_fungii	Hoya_fungii
Hoya_griffithii	Hoya_griffithii
Hoya_ignorata	Hoya_ignorata
Hoya_liangii	Hoya_liangii
Hoya_lipoensis	Hoya_lipoensis
Hoya_lobbii	Hoya_lobbii
Hoya_longifolia	Hoya_longifolia
Hoya_mariae	Hoya_mariae
Hoya_medinillifolia	Hoya_medinillifolia
Hoya_mekongensis	Hoya_mekongensis
Hoya_nervosa	Hoya_nervosa
Hoya_odorata	Hoya_odorata
Hoya_ovalifolia	Hoya_ovalifolia
Hoya_papaschonii	Hoya_papaschonii
Hoya_paziae	Hoya_paziae
Hoya_platycaulis	Hoya_platycaulis
Hoya_polyneura	Hoya_polyneura
Hoya_radicalis	Hoya_radicalis
Hoya_salweenica	Hoya_salweenica
Hoya_siamica	Hoya_siamica
Hoya_spartioides	Hoya_spartioides
Hoya_villosa	Hoya_villosa
Kanahia_carlsbergiana	
Leptadenia_arborea	Leptadenia_arborea
Leptadenia_madagascariensis	
Leptadenia_pyrotechnica	
Matelea_calchaquina	Matelea_calchaquina
Matelea_pedalis	Matelea_pedalis
Matelea_sartago-diaboli	Matelea_sartago-diaboli
Microloma_armatum	Microloma_armatum
Microloma_calycinum	Microloma_calycinum
Microloma_longitubum	Microloma_longitubum
Microloma_incanum	Microloma_incanum
Microloma_penicellatum	
Microloma_lanatum	Microloma_lanatum
Minaria_acerosa	Minaria_acerosa
Minaria_bifurcata	Minaria_bifurcata
Minaria_campanulifora	
Minaria_decussata	Minaria_decussata
Minaria_grazielae	Minaria_grazielae
Minaria_hemipogonoides	Minaria_hemipogonoides
Minaria_magisteriana	Minaria_magisteriana
Minaria_refractifolia	Minaria_refractifolia
Minaria_semirii	Minaria_semirii
Orthanthera_albida	
Orthanthera_viminaea	
Rhyssostelma_nigricans	Oxypetalum_nigricans
Schizostephanus_alatus	Schizostephanus_alatus
Schizostephanus_gossweileri	Schizostephanus_gossweileri
Vincetoxicum_anthopotamicum	
Vincetoxicum_arachnoideum	
Vincetoxicum_arenicola	
Vincetoxicum_augustianum	
Vincetoxicum_auritum	
Vincetoxicum_brownii	
Vincetoxicum_cycleoides	
Vincetoxicum_fleckii	
Vincetoxicum_flexuosum	
Vincetoxicum_floribundum	
Vincetoxicum_gilbertii	
Vincetoxicum_gracilentum	
Vincetoxicum_hui	
Vincetoxicum_insulicola	
Vincetoxicum_kerrii	
Vincetoxicum_koi	
Vincetoxicum_leptanthum	
Vincetoxicum_lii	
Vincetoxicum_longifolium	
Vincetoxicum_nanum	
Vincetoxicum_pictum	
Vincetoxicum_renchangii	
Vincetoxicum_secamonoides	
Vincetoxicum_silvestre	
Vincetoxicum_sinaicum	
Vincetoxicum_uncinatum	
Thottea_anthonysamyi	Thottea_anthonysamyi
Thottea_borneensis	Thottea_borneensis
Thottea_corymbosa	Thottea_corymbosa
Thottea_curvisimen	
Thottea_dependens	Thottea_dependens
Thottea_grandiflora	Thottea_grandiflora
Thottea_kamarudiniana	Thottea_kamarudiniana
Thottea_longipedunculata	Thottea_longipedunculata
Thottea_macrophylla	Thottea_macrophylla
Thottea_muluensis	Thottea_muluensis
Thottea_papilionis	Thottea_papilionis
Thottea_parviflora	Thottea_parviflora
Thottea_penitilobata	Thottea_penitilobata
Thottea_piscidora	
Thottea_praetermissa	Thottea_praetermissa
Thottea_reniloba	Thottea_reniloba
Thottea_rhizantha	Thottea_rhizantha
Thottea_robusta	Thottea_robusta_v.
Thottea_tricornis	Thottea_tricornis
Adenophyllum_appendiculatum	
Adenophyllum_cooperi	Adenophyllum_cooperi
Adenophyllum_speciosum	
Adenothamnus_validus	Adenothamnus_validus
Aldama_brandegeei	
Aldama_congesta	
Aldama_dillonorum	
Aldama_emaciata	
Aldama_mollis	
Aldama_palmeri	
Aldama_pringlei	
Aldama_santacatarinensis	Aldama_santacatarinensis
Aldama_seemannii	
Aldama_squalida	
Amphoricarpos_autariatus	Amphoricarpos_autariatus
Amphoricarpos_elegans	
Amphoricarpos_exsul	Amphoricarpos_exsul
Amphoricarpos_neumayeri	Amphoricarpos_neumayerianus
Angianthus_cunninghamii	
Antillanthus_acunae	Antillanthus_acunae
Antillanthus_almironcillo	Antillanthus_almironcillo
Antillanthus_azulensis	
Antillanthus_biseriatus	
Antillanthus_carinatus	
Antillanthus_cubensis	
Antillanthus_ekmanii	
Antillanthus_eriocarphus	
Antillanthus_leucolepis	
Antillanthus_moaensis	
Antillanthus_moldenkei	
Antillanthus_pachylepis	
Antillanthus_pachypodus	
Antillanthus_saugetii	
Antillanthus_shaferi	
Antillanthus_subsquarrosus	
Antillanthus_trichotomus	
Apostates_rapae	Apostates_rapae
Arctotis_cuprea	Arctotis_cuprea
Arctotis_frutescens	
Arctotis_merxmuelleri	
Arctotis_scullyi	Arctotis_scullyi
Argyranthemum_adauctum	Argyranthemum_adauctum_subsp._canariense
Argyranthemum_adauctum	Argyranthemum_adauctum_subsp._adauctum
Argyranthemum_broussonettii	
Argyranthemum_callichrysum	Argyranthemum_callichrysum
Argyranthemum_coronopifolium	Argyranthemum_coronopifolium
Argyranthemum_dissectum	Argyranthemum_dissectum
Argyranthemum_escarrei	
Argyranthemum_fillifolium	
Argyranthemum_foeniculaceum	Argyranthemum_foeniculaceum
Argyranthemum_frutescens	Argyranthemum_frutescens
Argyranthemum_gracile	
Argyranthemum_haemotomma	Argyranthemum_haemotomma
Argyranthemum_haouarytheum	Argyranthemum_haouarytheum
Argyranthemum_hierrense	Argyranthemum_hierrense
Argyranthemum_lemsii	
Argyranthemum_lidii	
Argyranthemum_maderense	
Argyranthemum_pinnatifidum	Argyranthemum_pinnatifidum_subsp._succulentum
Argyranthemum_pinnatifidum	Argyranthemum_pinnatifidum_subsp._montanum
Argyranthemum_pinnatifidum	Argyranthemum_pinnatifidum_subsp._pinnatifidum
Argyranthemum_sundingii	
Argyranthemum_sventenii	
Argyranthemum_teneriffae	
Argyranthemum_thalassophilum	Argyranthemum_thalassophilum
Argyranthemum_webbii	Argyranthemum_webbii
Argyranthemum_winteri	Argyranthemum_winteri
Argyroxiphium_caliginis	Argyroxiphium_caliginis
Argyroxiphium_grayanum	Argyroxiphium_grayanum
Argyroxiphium_kauense	Argyroxiphium_kauense
Argyroxiphium_sandwicense	Argyroxiphium_sandwicense
Argyroxiphium_virescens	Argyroxiphium_virescens
Arrhenechthites_novoguinensis	
Aster_albescens	Aster_albescens_var._albescens
Aster_argyropholis	Aster_argyropholis
Aster_fulgidulus	
Aster_hersileoides	Aster_hersileoides
Aster_hypoleucus	
Aster_lavanduliifolius	Aster_lavandulifolius
Aster_nitidus	Aster_nitidus
Aster_polius	Aster_polius
Atractylis_arbuscula	Atractylis_arbuscula
Atractylis_preauxiana	
Ayapanopsis_ferreyrii	
Ayapanopsis_oblongifolia	Ayapanopsis_oblongifolia
Ayapanopsis_tarapotensis	
Ayapanopsis_triosteifolia	
Ayapanopsis_tucumanensis	
Baeriopsis_guadalupensis	Baeriopsis_guadalupensis
Bajacalia_crassifolia	
Bajacalia_moranii	
Bajacalia_tridentata	Bajacalia_tridentata
Bebbia_atriplicifolia	
Bebbia_juncea	Bebbia_juncea
Bethencourtia_hermosae	Bethencourtia_hermosae
Bethencourtia_palmensis	Bethencourtia_palmensis
Bethencourtia_rupicola	Bethencourtia_rupicola
Bidens_aoraiensis	Bidens_aoraiensis
Bidens_beckiana	
Bidens_chippii	
Bidens_cordifolia	
Bidens_cordylocarpa	Bidens_cordylocarpa
Bidens_crocea	
Bidens_deltoidea	
Bidens_glabrata	
Bidens_glandulifera	
Bidens_hendersonensis	
Bidens_henryi	
Bidens_hildebrandtii	
Bidens_lantanoides	
Bidens_mathewsii	
Bidens_menziesii	Bidens_menziesii_subsp._filiformis
Bidens_menziesii	Bidens_menziesii_subsp._menziesii
Bidens_monticola	
Bidens_moorensis	
Bidens_odora	
Bidens_orofenensis	
Bidens_pinnatipartita	
Bidens_polycephala	
Bidens_rubifolia	
Bidens_saint-johniana	
Bidens_segetum	Bidens_segetum
Bidens_simplicifolia	
Brickellia_argyrolepis	Brickellia_argyrolepis
Brickellia_glandulosa	Brickellia_glandulosa
Brickellia_nutanticeps	Brickellia_nutanticeps
Brickellia_paniculata	Brickellia_paniculata
Brickellia_secundiflora	Brickellia_secundiflora
Brickellia_tomentella	Brickellia_tomentella
Calea_abelioides	
Calea_angusta	
Calea_anomala	
Calea_berteriana	
Calea_brittonia	
Calea_coriacea	
Calea_crassifolia	
Calea_crocinervosa	
Calea_ferruginea	
Calea_fluviatilis	
Calea_fruticosa	
Calea_grazielae	
Calea_guatemalensis	
Calea_harleyi	
Calea_harlingii	
Calea_huigrensis	
Calea_hypoleuca	
Calea_jamaicensis	Calea_jamaicensis
Calea_jelskii	
Calea_kingii	
Calea_lantanioides	
Calea_lemmatioides	
Calea_longipedicellata	
Calea_lutea	
Calea_microphylla	
Calea_montana	Calea_montana
Calea_morii	
Calea_myrtifolia	
Calea_nitida	
Calea_oliveri	
Calea_oxylepis	
Calea_papposa	
Calea_peckii	
Calea_phyllolepis	
Calea_pilosa	
Calea_polycephala	
Calea_pringlei	
Calea_prunifolia	
Calea_rotundifolia	
Calea_semirii	
Calea_serrata	
Calea_sickii	
Calea_skutchii	
Calea_szyszylowiczii	
Calea_terniflora	
Calea_teucriifolia	
Calea_triantha	
Calea_trichotoma	
Calea_ulei	
Calea_umbellata	
Calea_urticifolia	
Calea_villosa	
Calea_wedelioides	
Calea_yariguiensis	
Calea_zacatechichi	
Carlina_canariensis	Carlina_canariensis
Carlina_diae	Carlina_diae
Carlina_falcata	Carlina_falcata
Carlina_salicifolia	Carlina_salicifolia
Carlina_texedae	
Carlina_tragacanthifolia	Carlina_tragacanthifolia
Carlina_xeranthemoides	Carlina_xeranthemoides
Carramboa_badilloi	Carramboa_badilloi
Carramboa_rodriguezii	Carramboa_rodriguezii
Carramboa_tachirensis	Carramboa_tachirensis
Carramboa_trujillensis	Carramboa_trujillensis
Carramboa_wurdackii	
Centaurea_ptosimopappa	Centaurea_ptosimopappa
Centaurea_ptosimopapppoides	
Centaurea_spinosa	Centaurea_spinosa
Centaurodendron_dracaenoides	
Centaurodendron_palmiforme	Centaurodendron_palmiforme
Centauropsis_antanossi	
Centauropsis_cuspidata	
Centauropsis_decaryi	Centauropsis_decaryi
Centauropsis_fruticosa	
Centauropsis_laurifolia	
Centauropsis_perrieri	
Centauropsis_rhaponticoides	
Centauropsis_vilersii	
Centaurothamnus_maximus	Centaurothamnus_maximus
Cheirolophus_aganaensis	
Cheirolophus_arboreus	Cheirolophus_arboreus
Cheirolophus_arbutifolius	Cheirolophus_arbutifolius
Cheirolophus_benoistii	Cheirolophus_benoistii
Cheirolophus_burchardii	Cheirolophus_burchardii
Cheirolophus_canariensis	Cheirolophus_canariensis
Cheirolophus_crassifolius	Cheirolophus_crassifolius
Cheirolophus_dariasii	Cheirolophus_dariasii
Cheirolophus_duranii	Cheirolophus_duranii
Cheirolophus_falcisectus	Cheirolophus_falcisectus
Cheirolophus_ghomerythus	Cheirolophus_gomerythus
Cheirolophus_intybaceus	Cheirolophus_intybaceus_var._capillifolius
Cheirolophus_intybaceus	Cheirolophus_intybaceus_var._microcephalus
Cheirolophus_junonianus	Cheirolophus_junonianus_var._isoplexiphyllus
Cheirolophus_junonianus	Cheirolophus_junonianus_var._junonianus
Cheirolophus_massonianus	Cheirolophus_massonianus
Cheirolophus_mauritanicus	Cheirolophus_mauritanicus
Cheirolophus_metlesicsii	Cheirolophus_metlesicsii
Cheirolophus_puntallanensis	
Cheirolophus_santos-abreui	Cheirolophus_santos-abreui
Cheirolophus_satarataensis	Cheirolophus_satarataensis
Cheirolophus_sempervirens	Cheirolophus_sempervirens
Cheirolophus_sventenii	Cheirolophus_sventenii
Cheirolophus_tagananensis	Cheirolophus_tagananensis
Cheirolophus_tananicus	Cheirolophus_tananicus
Cheirolophus_teydis	Cheirolophus_teydis
Cheirolophus_webbianus	Cheirolophus_webbianus
Chiliadenus_bocconei	Chiliadenus_bocconei
Chiliadenus_candicans	Chiliadenus_candicans
Chiliadenus_hesperius	Chiliadenus_hesperius
Chiliadenus_iphionoides	Chiliadenus_iphionoides
Chiliadenus_lopadusanus	Chiliadenus_lopadusanus
Chionopappus_benthamii	Chionopappus_benthamii
Chrysactinia_acerosa	
Chrysactinia_lehtoae	
Chrysactinia_mexicana	Chrysactinia_mexicana
Coespeletia_albarregensis	
Coespeletia_elongata	
Coespeletia_moritziana	Coespeletia_moritziana
Coespeletia_palustris	
Coespeletia_spicata	
Coespeletia_thyrsiformis	Coespeletia_thyrsiformis
Coespeletia_timotensis	Coespeletia_timotensis
Constancea_nevinii	Constancea_nevinii
Conyza_feae	
Conyza_varia	
Coreocarpus_breviligulata	
Coreocarpus_celendinensis	
Coreocarpus_dissectus	Coreocarpus_dissectus
Coreopsis_connata	Coreopsis_connata
Coreopsis_cuneifolia	
Coreopsis_davillae	
Coreopsis_fasciculata	Coreopsis_fasciculata
Coreopsis_foliosa	
Coreopsis_gigantea	Leptosyne_gigantea
Coreopsis_glaucodes	
Coreopsis_holodasya	
Coreopsis_imbricata	
Coreopsis_integra	
Coreopsis_killippii	
Coreopsis_longula	
Coreopsis_lopez-mirandae	Coreopsis_lopez-mirandae
Coreopsis_lupulina	
Coreopsis_macbridei	
Coreopsis_mcvaughii	Coreopsis_mcvaughii
Coreopsis_microlepis	Coreopsis_microlepis
Coreopsis_mutica	Coreopsis_mutica_var._carnosifolia
Coreopsis_nodosa	
Coreopsis_notha	Coreopsis_notha
Coreopsis_oblanceolata	Coreopsis_oblanceolata
Coreopsis_obovatifolia	Coreopsis_obovatifolia
Coreopsis_parviceps	Coreopsis_parviceps
Coreopsis_parvifolia	
Coreopsis_peruviana	
Coreopsis_pervelutina	Coreopsis_pervelutina
Coreopsis_petrophila	Coreopsis_petrophila
Coreopsis_petrophoides	
Coreopsis_pickeringii	Coreopsis_pickeringii
Coreopsis_piuriana	
Coreopsis_polyactis	
Coreopsis_pringlei	
Coreopsis_rudis	Coreopsis_rudis
Coreopsis_scopulorum	
Coreopsis_senaria	Coreopsis_senaria
Coreopsis_sherfii	Coreopsis_sherffii
Coreopsis_spectabilis	
Coreopsis_suaveolens	
Coreopsis_townsendii	
Coreopsis_triloba	
Coreopsis_venusta	Coreopsis_venusta
Coreopsis_woytkowskii	Coreopsis_woytkowskii
Coulterella_capitata	Coulterella_capitata
Cousinia_arenaria	
Cousinia_arida	Cousinia_arida
Cousinia_badghysi	Cousinia_badghysi
Cousinia_chejrabadensis	
Cousinia_crassipes	Cousinia_crassipes
Cousinia_mucida	
Cousinia_neurocentra	
Cousinia_spathulata	
Cousinia_stahliana	Cousinia_stahliana
Cousinia_stechmanniopsis	Cousinia_stechmanniopsis
Cousinia_stocksii	Cousinia_stocksii
Cratystylis_centralis	Cratystylis_centralis
Cratystylis_conocephala	Cratystylis_conocephala
Cratystylis_microphylla	Cratystylis_microphylla
Cratystylis_subspinescens	Cratystylis_subspinescens
Crepis_kilimandscharica	
Curio_avasimontanus	
Cylindrocline_commersonii	Cylindrocline_commersonii
Cylindrocline_lorencei	Cylindrocline_lorencei
Darwiniothamnus_lancifolius	Darwiniothamnus_lancifolius_subsp._glabriusculus
Darwiniothamnus_lancifolius	Darwiniothamnus_lancifolius_subsp._glandulosus
Darwiniothamnus_tenuifolius	Darwiniothamnus_tenuifolius
Deinandra_clementina	Deinandra_clementina
Deinandra_frutescens	Deinandra_frutescens
Deinandra_greeneana	Deinandra_greeneana_subsp._peninsularis
Deinandra_greeneana	Deinandra_greeneana_subsp._greeneana
Deinandra_minthornii	Deinandra_minthornii
Deinandra_palmeri	Deinandra_palmeri
Dendrocacalia_crepidifolia	Dendrocacalia_crepidifolia
Dendrophorbium_arboluco	
Dendrophorbium_archeri	
Dendrophorbium_barkleyanum	
Dendrophorbium_biacuminatum	
Dendrophorbium_bomanii	Dendrophorbium_bomanii
Dendrophorbium_bradei	
Dendrophorbium_buchtienii	
Dendrophorbium_cabrerae	
Dendrophorbium_cabrerianum	
Dendrophorbium_chaenocephalum	
Dendrophorbium_columbianum	
Dendrophorbium_coroicense	
Dendrophorbium_curvidens	
Dendrophorbium_dielsii	
Dendrophorbium_favillosum	
Dendrophorbium_floribundum	
Dendrophorbium_fortunatum	
Dendrophorbium_fruticosum	
Dendrophorbium_lloense	
Dendrophorbium_longilinguae	
Dendrophorbium_lucidum	Dendrophorbium_lucidum
Dendrophorbium_medullosum	
Dendrophorbium_moscopanum	
Dendrophorbium_multinerve	Dendrophorbium_multinerve
Dendrophorbium_ocanense	
Dendrophorbium_onae	
Dendrophorbium_pellucidinerve	
Dendrophorbium_peregrinum	
Dendrophorbium_pluricephalum	
Dendrophorbium_purupuru	
Dendrophorbium_reflexum	
Dendrophorbium_scaphiforme	
Dendrophorbium_scytophyllum	
Dendrophorbium_silvani	
Dendrophorbium_storkii	
Dendrophorbium_tabacifolium	
Dendrophorbium_ullocosanum	
Dendrophorbium_usgorense	
Dendrophorbium_yalusay	
Dendrosenecio_adnivalis	
Dendrosenecio_battiscombei	Dendrosenecio_battiscombei
Dendrosenecio_brassiciformis	
Dendrosenecio_cheranganiensis	
Dendrosenecio_elongensis	
Dendrosenecio_erici-rosenii	
Dendrosenecio_johnstonii	
Dendrosenecio_keniensis	
Dendrosenecio_keniodendron	
Dendrosenecio_kilimanjari	Dendrosenecio_kilimanjari_subsp._cottonii
Dendrosenecio_meruensis	
Desmanthodium_blepharodon	
Desmanthodium_congestum	
Desmanthodium_fruticosum	Desmanthodium_fruticosum
Desmanthodium_guatemalense	
Desmanthodium_hintoniorum	
Desmanthodium_perfoliatum	
Desmanthodium_tomentosum	
Dubautia_aborea	
Dubautia_carrii	
Dubautia_ciliolata	Dubautia_ciliolata_subsp._glutinosa
Dubautia_ciliolata	Dubautia_ciliolata_subsp._ciliolata
Dubautia_hanaulaensis	
Dubautia_herbstobatae	Dubautia_herbstobatae
Dubautia_imbricata	Dubautia_imbricata_subsp._imbricata
Dubautia_kalalauensis	
Dubautia_kenwoodii	
Dubautia_knudsenii	Dubautia_knudsenii_subsp._filiformis
Dubautia_knudsenii	Dubautia_knudsenii_subsp._nagatae
Dubautia_knudsenii	Dubautia_knudsenii_subsp._knudsenii
Dubautia_laevigata	Dubautia_laevigata
Dubautia_latifolia	Dubautia_latifolia
Dubautia_laxa	Dubautia_laxa
Dubautia_linearis	Dubautia_linearis_subsp._hillebrandii
Dubautia_linearis	Dubautia_linearis_subsp._linearis
Dubautia_menziesii	Dubautia_menziesii
Dubautia_microcephala	Dubautia_microcephala
Dubautia_paleata	Dubautia_paleata
Dubautia_pauciflorula	Dubautia_pauciflorula
Dubautia_plantaginea	Dubautia_plantaginea
Dubautia_platyphylla	Dubautia_platyphylla
Dubautia_raillardioides	Dubautia_raillardioides
Dubautia_reticulata	Dubautia_reticulata
Dubautia_scabra	Dubautia_scabra
Dubautia_sherffiana	Dubautia_sherffiana
Dubautia_syndetica	
Dubautia_waialealae	
Dubautia_waianapanapaensis	Dubautia_waianapanapaensis
Dyscritothamnus_filifolius	
Dyscritothamnus_mirandae	Dyscritothamnus_mirandae
Ekmaniopappus_mikanioides	Ekmaniopappus_mikanioides
Elekmania_barahonensis	Elekmania_barahonensis
Elekmania_marciana	
Elekmania_picardae	Elekmania_picardae
Elekmania_samanensis	
Encelia_conspersa	Encelia_conspersa
Encelia_hispida	Encelia_hispida
Erigeron_crenatus	
Erigeron_darrellianus	
Erigeron_fasciculatus	Erigeron_fasciculatus
Erigeron_fernandezianus	Erigeron_fernandezianus
Erigeron_luxurians	Erigeron_luxurians
Erigeron_othonnaefolius	Erigeron_othonnaefolius
Erigeron_socorrensis	Erigeron_socorrensis
Eriophyllum_confertiflorum	
Eriophyllum_jepsonii	
Eriophyllum_staechadifolium	Eriophyllum_staechadifolium
Eriotrix_commersonii	
Eriotrix_lycopodioides	
Erythroseris_somalensis	
Espeletia_annemariana	Espeletia_annemariana
Espeletia_arbelaezii	Espeletia_arbelaezii
Espeletia_argentea	Espeletia_argentea
Espeletia_ariana	Espeletia_ariana
Espeletia_aristeguietana	Espeletia_aristeguietana
Espeletia_azucarina	Espeletia_azucarina
Espeletia_barclayana	Espeletia_barclayana
Espeletia_boyacensis	Espeletia_boyacensis
Espeletia_brachyaxiantha	Espeletia_brachyaxiantha
Espeletia_brassicoidea	Espeletia_brassicoidea
Espeletia_cabrerensis	
Espeletia_cachaluensis	
Espeletia_canescens	
Espeletia_cayetana	Espeletia_cayetana
Espeletia_chocontana	Espeletia_chocontana
Espeletia_chontalensis	
Espeletia_cleefii	Espeletia_cleefii
Espeletia_congestiflora	Espeletia_congestiflora
Espeletia_conglomerata	Espeletia_conglomerata
Espeletia_cuniculorum	Espeletia_cuniculorum
Espeletia_curialensis	Espeletia_curialensis
Espeletia_discoidea	Espeletia_discoidea
Espeletia_dugandii	Espeletia_dugandii
Espeletia_episcopalis	Espeletia_episcopalis
Espeletia_estanislana	Espeletia_estanislana
Espeletia_formosa	Espeletia_formosa
Espeletia_frontinoensis	Espeletia_frontinoensis
Espeletia_grandiflora	Espeletia_grandiflora
Espeletia_hartwegiana	Espeletia_hartwegiana
Espeletia_idroboi	
Espeletia_incana	Espeletia_incana
Espeletia_jaramilloi	Espeletia_jaramilloi
Espeletia_killippii	
Espeletia_lopezii	Espeletia_lopezii
Espeletia_marnixiana	
Espeletia_mirabilis	
Espeletia_miradorensis	
Espeletia_murilloi	Espeletia_murilloi
Espeletia_mutabilils	
Espeletia_nemekenei	Espeletia_nemekenei
Espeletia_occidentalis	Espeletia_occidentalis
Espeletia_oswaldiana	
Espeletia_paipana	Espeletia_paipana
Espeletia_perijaensis	
Espeletia_pescana	Espeletia_pescana
Espeletia_pisbana	Espeletia_pisbana
Espeletia_praefontina	
Espeletia_praesidentis	
Espeletia_pulcherrima	
Espeletia_pycnophylla	Espeletia_pycnophylla
Espeletia_raquirensis	Espeletia_raquirensis
Espeletia_robertii	Espeletia_roberti
Espeletia_rositae	Espeletia_rositae
Espeletia_schultesiana	Espeletia_schultesiana
Espeletia_schultzii	Espeletia_schultzii
Espeletia_semiglobulata	Espeletia_semiglobulata
Espeletia_soroca	
Espeletia_standleyana	
Espeletia_steyermarkii	
Espeletia_summapacis	Espeletia_summapacis
Espeletia_tapirophila	
Espeletia_tenorae	
Espeletia_tibamoensis	
Espeletia_tillettii	
Espeletia_tunjana	Espeletia_tunjana
Espeletia_uribei	Espeletia_uribei
Espeletiopsis_corymbosa	Espeletiopsis_corymbosa
Espeletiopsis_cristalinensis	Espeletiopsis_cristalinensis
Espeletiopsis_garciae	Espeletiopsis_garciae
Espeletiopsis_insignis	Espeletiopsis_insignis
Espeletiopsis_jajoensis	
Espeletiopsis_pleiochasia	Espeletiopsis_pleiochasia
Espeletiopsis_pozoensis	
Espeletiopsis_purpurascens	Espeletiopsis_purpurascens
Espeletiopsis_rabanalensis	Espeletiopsis_rabanalensis
Espeletiopsis_trianae	
Faujasia_cadetiana	
Faujasia_pinifolia	
Faujasia_squamosa	Faujasia_squamosa
Femeniasia_balearica	Femeniasia_balearica
Fitchia_cordata	
Fitchia_cuneata	
Fitchia_mangarevensis	
Fitchia_nutans	
Fitchia_rapensis	
Fitchia_speciosa	Fitchia_speciosa
Fitchia_tahitensis	
Flaveria_cronquistii	Flaveria_cronquistii
Flaveria_vaginata	Flaveria_vaginata
Fleischmannia_klattiana	
Fleischmannia_tysonii	
Gazania_caespitosa	Gazania_caespitosa
Gazania_schenckii	Gazania_schenckii
Geigeria_acicularis	Geigeria_acicularis
