steidinger_name	family	has_am	has_ecm	has_nm	has_er	has_orm	has_nfix
Acacia_tortilis	Leguminosae	0	1	0	0	0	1
Acacia_torulosa	Leguminosae	0	1	0	0	0	1
Acacia_turbacensis	Leguminosae	0	1	0	0	0	1
Acacia_visco	Leguminosae	0	1	0	0	0	1
Acalypha_cuneata	Euphorbiaceae	1	0	0	0	0	0
Acalypha_diversifolia	Euphorbiaceae	1	0	0	0	0	0
Acalypha_ferdinandii	Euphorbiaceae	1	0	0	0	0	0
Acalypha_glabrata	Euphorbiaceae	1	0	0	0	0	0
Acalypha_macrostachya	Euphorbiaceae	1	0	0	0	0	0
Acalypha_mapirensis	Euphorbiaceae	1	0	0	0	0	0
Acalypha_obovata	Euphorbiaceae	1	0	0	0	0	0
Acalypha_repanda	Euphorbiaceae	1	0	0	0	0	0
Acalypha_skutchii	Euphorbiaceae	1	0	0	0	0	0
Acalypha_stenoloba	Euphorbiaceae	1	0	0	0	0	0
Acalypha_stricta	Euphorbiaceae	1	0	0	0	0	0
Acalypha_villosa	Euphorbiaceae	1	0	0	0	0	0
Acanthocereus_pentagonus	Cactaceae	1	0	0	0	0	0
Acanthocladus_pulcherrimus	Polygalaceae	1	0	0	0	0	0
Acanthopanax_senticosus	Araliaceae	1	0	0	0	0	0
Acanthosyris_annonagustata	Santalaceae	0	0	1	0	0	0
Acca_sellowiana	Myrtaceae	1	0	0	0	0	0
Acer_amplum	Sapindaceae	1	0	0	0	0	0
Acer_barbatum	Sapindaceae	1	0	0	0	0	0
Acer_barbinerve	Sapindaceae	1	0	0	0	0	0
Acer_buergerianum	Sapindaceae	1	0	0	0	0	0
Acer_caesium	Sapindaceae	1	0	0	0	0	0
Acer_campbellii	Sapindaceae	1	0	0	0	0	0
Acer_campestre	Sapindaceae	1	0	0	0	0	0
Acer_cappadocicum	Sapindaceae	1	0	0	0	0	0
Acer_cordatum	Sapindaceae	1	0	0	0	0	0
Acer_crataegifolium	Sapindaceae	1	0	0	0	0	0
Acer_fabri	Sapindaceae	1	0	0	0	0	0
Acer_ginnala	Sapindaceae	1	0	0	0	0	0
Acer_glabrum	Sapindaceae	1	0	0	0	0	0
Acer_grandidentatum	Sapindaceae	1	0	0	0	0	0
Acer_komarovii	Sapindaceae	1	0	0	0	0	0
Acer_laurinum	Sapindaceae	1	0	0	0	0	0
Acer_leucoderme	Sapindaceae	1	0	0	0	0	0
Acer_lobelii	Sapindaceae	1	0	0	0	0	0
Acer_lucidum	Sapindaceae	1	0	0	0	0	0
Acer_macrophyllum	Sapindaceae	1	0	0	0	0	0
Acer_mandshuricum	Sapindaceae	1	0	0	0	0	0
Acer_micranthum	Sapindaceae	1	0	0	0	0	0
Acer_mono	Sapindaceae	1	0	0	0	0	0
Acer_monspessulanum	Sapindaceae	1	0	0	0	0	0
Acer_negundo	Sapindaceae	1	0	0	0	0	0
Acer_nigrum	Sapindaceae	1	0	0	0	0	0
Acer_obtusatum	Sapindaceae	1	0	0	0	0	0
Acer_obtusifolium	Sapindaceae	1	0	0	0	0	0
Acer_opalus	Sapindaceae	1	0	0	0	0	0
Acer_palmatum	Sapindaceae	1	0	0	0	0	0
Acer_pensylvanicum	Sapindaceae	1	0	0	0	0	0
Acer_pictum	Sapindaceae	1	0	0	0	0	0
Acer_pilosum	Sapindaceae	1	0	0	0	0	0
Acer_platanoides	Sapindaceae	1	0	0	0	0	0
Acer_pseudo_sieboldianum	Sapindaceae	1	0	0	0	0	0
Acer_pseudoplatanus	Sapindaceae	1	0	0	0	0	0
Acer_pseudosieboldianum	Sapindaceae	1	0	0	0	0	0
Acer_rubrum	Sapindaceae	1	0	0	0	0	0
Acer_saccharinum	Sapindaceae	1	0	0	0	0	0
Acer_saccharum	Sapindaceae	1	0	0	0	0	0
Acer_sieboldianum	Sapindaceae	1	0	0	0	0	0
Acer_spicatum	Sapindaceae	1	0	0	0	0	0
Acer_tataricum	Sapindaceae	1	0	0	0	0	0
Acer_tegmentosum	Sapindaceae	1	0	0	0	0	0
Acer_triflorum	Sapindaceae	1	0	0	0	0	0
Acer_truncatum	Sapindaceae	1	0	0	0	0	0
Acer_ukurunduense	Sapindaceae	1	0	0	0	0	0
Aceratium_oppositifolium	Elaeocarpaceae	1	0	0	0	0	0
Aceratium_parvifolium	Elaeocarpaceae	1	0	0	0	0	0
Achatocarpus_gracilis	Achatocarpaceae	0	1	0	0	0	0
Achatocarpus_nigricans	Achatocarpaceae	0	1	0	0	0	0
Achatocarpus_praecox	Achatocarpaceae	0	1	0	0	0	0
Achras_zapota	Sapotaceae	1	0	0	0	0	0
Acioa_scabrifolia	Chrysobalanaceae	1	0	0	0	0	0
Ackama_rosifolia	Cunoniaceae	1	0	0	0	0	0
Acmena_acuminatissima	Myrtaceae	1	0	0	0	0	0
Acmena_hemilampra	Myrtaceae	1	0	0	0	0	0
Acmena_smithii	Myrtaceae	1	0	0	0	0	0
Acnistus_arborescens	Solanaceae	1	0	0	0	0	0
Acosmium_cardenasii	Leguminosae	0	0	0	0	0	1
Acosmium_lentiscifolium	Leguminosae	0	0	0	0	0	1
Acrocarpus_fraxinifolius	Leguminosae	1	0	0	0	0	0
Acrocomia_aculeata	Arecaceae	1	0	0	0	0	0
Acrocomia_media	Arecaceae	1	0	0	0	0	0
Acrocomia_totai	Arecaceae	1	0	0	0	0	0
Acronychia_laevis	Rutaceae	1	0	0	0	0	0
Acronychia_oligophlebia	Rutaceae	1	0	0	0	0	0
Acronychia_pedunculata	Rutaceae	1	0	0	0	0	0
Acronychia_porteri	Rutaceae	1	0	0	0	0	0
Acronychia_wilcoxiana	Rutaceae	1	0	0	0	0	0
Acropogon_aoupiniensis	Malvaceae	1	0	0	0	0	0
Acropogon_grandiflorus	Malvaceae	1	0	0	0	0	0
Acropogon_merytifolius	Malvaceae	1	0	0	0	0	0
Acropogon_sageniifolius	Malvaceae	1	0	0	0	0	0
Acropogon_schistophilus	Malvaceae	1	0	0	0	0	0
Acropogon_schumannianus	Malvaceae	1	0	0	0	0	0
Actinidia_arguta	Actinidiaceae	1	0	0	0	0	0
Actinodaphne_borneensis	Lauraceae	1	0	0	0	0	0
Actinodaphne_ferruginea	Lauraceae	1	0	0	0	0	0
Actinodaphne_glaucina	Lauraceae	1	0	0	0	0	0
Actinodaphne_lancifolia	Lauraceae	1	0	0	0	0	0
Actinodaphne_macrophylla	Lauraceae	1	0	0	0	0	0
Actinodaphne_nitida	Lauraceae	1	0	0	0	0	0
Actinodaphne_obovata	Lauraceae	1	0	0	0	0	0
Actinodaphne_pilosa	Lauraceae	1	0	0	0	0	0
Actinodaphne_pruinosa	Lauraceae	1	0	0	0	0	0
Actinokentia_divaricata	Arecaceae	1	0	0	0	0	0
Actinostemon_brasiliensis	Euphorbiaceae	1	0	0	0	0	0
Actinostemon_concepcionis	Euphorbiaceae	1	0	0	0	0	0
Actinostemon_concolor	Euphorbiaceae	1	0	0	0	0	0
Actinostemon_klotzschii	Euphorbiaceae	1	0	0	0	0	0
Acumea_kleniana	NA	0	0	0	0	0	0.5
Adansonia_digitata	Malvaceae	1	0	0	0	0	0
Adelia_ricinella	Euphorbiaceae	1	0	0	0	0	0
Adelia_triloba	Euphorbiaceae	1	0	0	0	0	0
Adelobotrys_adscendens	Melastomataceae	1	0	0	0	0	0
Adenanthera_bicolor	Leguminosae	1	0	0	0	0	0
Adenanthera_klaineana	Leguminosae	1	0	0	0	0	0
Adenanthera_malayana	Leguminosae	1	0	0	0	0	0
Adenanthera_microsperma	Leguminosae	1	0	0	0	0	0
Adenanthera_pavonina	Leguminosae	1	0	0	0	0	0
Adenia_olaboensis	Passifloraceae	1	0	0	0	0	0
Adenia_penangiana	Passifloraceae	1	0	0	0	0	0
Adenocalymma_bracteatum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_bracteolatum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_flavum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_grandifolium	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_hirtum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_impressum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_inundatum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_magdalenense	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_marginatum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_paulistarum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_prancei	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_purpurascens	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_redactum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_salmoneum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_sclerophyllum	Bignoniaceae	1	0	0	0	0	0
Adenocalymma_uleanum	Bignoniaceae	1	0	0	0	0	0
Adenophaedra_megalophylla	Euphorbiaceae	1	0	0	0	0	0
Adenophora_grandiflora	Campanulaceae	1	0	0	0	0	0
Adenopodia_polystachya	Leguminosae	0	0	0	0	0	1
Adenopodia_scelerata	Leguminosae	0	0	0	0	0	1
Adina_cordifolia	Rubiaceae	1	0	0	0	0	0
Adina_pilulifera	Rubiaceae	1	0	0	0	0	0
Adina_polycephala	Rubiaceae	1	0	0	0	0	0
Adina_sessilifolia	Rubiaceae	1	0	0	0	0	0
Adinandra_formosana	Pentaphylacaceae	1	0	0	0	0	0
Adinandra_glischroloma	Pentaphylacaceae	1	0	0	0	0	0
Adinandra_hainanensis	Pentaphylacaceae	1	0	0	0	0	0
Adinandra_howii	Pentaphylacaceae	1	0	0	0	0	0
Adinandra_laotica	Pentaphylacaceae	1	0	0	0	0	0
Adinandra_millettii	Pentaphylacaceae	1	0	0	0	0	0
Aegiphila_alba	Lamiaceae	1	0	0	0	0	0
Aegiphila_albavel	Lamiaceae	1	0	0	0	0	0
Aegiphila_amaranth	Lamiaceae	1	0	0	0	0	0
Aegiphila_anomala	Lamiaceae	1	0	0	0	0	0
Aegiphila_brachiata	Lamiaceae	1	0	0	0	0	0
Aegiphila_cephalophora	Lamiaceae	1	0	0	0	0	0
Aegiphila_chrysantha	Lamiaceae	1	0	0	0	0	0
Aegiphila_cordata	Lamiaceae	1	0	0	0	0	0
Aegiphila_costaricensis	Lamiaceae	1	0	0	0	0	0
Aegiphila_elata	Lamiaceae	1	0	0	0	0	0
Aegiphila_elegans	Lamiaceae	1	0	0	0	0	0
Aegiphila_glabra	Lamiaceae	1	0	0	0	0	0
Aegiphila_haughtii	Lamiaceae	1	0	0	0	0	0
Aegiphila_hirsuta	Lamiaceae	1	0	0	0	0	0
Aegiphila_hoehnei	Lamiaceae	1	0	0	0	0	0
Aegiphila_integrifolia	Lamiaceae	1	0	0	0	0	0
Aegiphila_laeta	Lamiaceae	1	0	0	0	0	0
Aegiphila_lanceolata	Lamiaceae	1	0	0	0	0	0
Aegiphila_macrantha	Lamiaceae	1	0	0	0	0	0
Aegiphila_obducta	Lamiaceae	1	0	0	0	0	0
Aegiphila_odontophylla	Lamiaceae	1	0	0	0	0	0
Aegiphila_panamensis	Lamiaceae	1	0	0	0	0	0
Aegiphila_sellowiana	Lamiaceae	1	0	0	0	0	0
Aegiphila_ulei	Lamiaceae	1	0	0	0	0	0
Aegiphila_verticillata	Lamiaceae	1	0	0	0	0	0
Aequatorium_cajamarcense	Compositae	1	0	0	0	0	0
Aerioselam_macrocarpom	NA	0	0	0	0	0	0.5
Aeschynomene_amorphoides	Leguminosae	0	0	0	0	0	1
Aesculus_californica	Sapindaceae	1	0	0	0	0	0
Aesculus_chinensis	Sapindaceae	1	0	0	0	0	0
Aesculus_flava	Sapindaceae	1	0	0	0	0	0
Aesculus_glabra	Sapindaceae	1	0	0	0	0	0
Aesculus_hippocastaneum	Sapindaceae	1	0	0	0	0	0
Aesculus_hippocastanum	Sapindaceae	1	0	0	0	0	0
Aesculus_sylvatica	Sapindaceae	1	0	0	0	0	0
Aextoxicon_punctatum	Aextoxicaceae	1	0	0	0	0	0
Afraegle_paniculata	Rutaceae	1	0	0	0	0	0
Afrocrania_volkensii	Cornaceae	1	0	0	0	0	0
Afrosersalisia_afzelii	Sapotaceae	1	0	0	0	0	0
Afrostyrax_kamerunensis	Huaceae	1	0	0	0	0	0
Afrostyrax_lepidophyllus	Huaceae	1	0	0	0	0	0
Afzelia_africana	Leguminosae	0	1	0	0	0	0
Afzelia_bella	Leguminosae	0	1	0	0	0	0
Afzelia_bipindensis	Leguminosae	0	1	0	0	0	0
Afzelia_bracteata	Leguminosae	0	1	0	0	0	0
Afzelia_pachyloba	Leguminosae	0	1	0	0	0	0
Afzelia_parviflora	Leguminosae	0	1	0	0	0	0
Afzelia_xylocarpa	Leguminosae	0	1	0	0	0	0
Aganope_lucida	Leguminosae	0	0	0	0	0	1
Aganosma_marginata	Apocynaceae	1	0	0	0	0	0
Agarista_eucalyptoides	Ericaceae	0	0	0	1	0	0
Agarista_salicifolia	Ericaceae	0	0	0	1	0	0
Agatea_rufotomentosa	Violaceae	1	0	0	0	0	0
Agathis_australis	Araucariaceae	1	0	0	0	0	0
Agathis_lanceolata	Araucariaceae	1	0	0	0	0	0
Agathis_macrophylla	Araucariaceae	1	0	0	0	0	0
Agathis_macrostachys	Araucariaceae	1	0	0	0	0	0
Agathis_moorei	Araucariaceae	1	0	0	0	0	0
Agathis_robusta	Araucariaceae	1	0	0	0	0	0
Agauria_salicifolia	Ericaceae	0	0	0	1	0	0
Agelaea_borneensis	Connaraceae	1	0	0	0	0	0
Agelaea_macrophylla	Connaraceae	1	0	0	0	0	0
Agelaea_obliqua	Connaraceae	1	0	0	0	0	0
Agelaea_paradoxa	Connaraceae	1	0	0	0	0	0
Agelaea_pentagyna	Connaraceae	1	0	0	0	0	0
Agelaea_trinervis	Connaraceae	1	0	0	0	0	0
Aglaia_anamallayana	Meliaceae	1	0	0	0	0	0
Aglaia_aquea	Meliaceae	1	0	0	0	0	0
Aglaia_argentea	Meliaceae	1	0	0	0	0	0
Aglaia_axillaris	Meliaceae	1	0	0	0	0	0
Aglaia_basiphylla	Meliaceae	1	0	0	0	0	0
Aglaia_borneensis	Meliaceae	1	0	0	0	0	0
Aglaia_cinerea	Meliaceae	1	0	0	0	0	0
Aglaia_cordata	Meliaceae	1	0	0	0	0	0
Aglaia_crysocelata	Meliaceae	1	0	0	0	0	0
Aglaia_cucullata	Meliaceae	1	0	0	0	0	0
Aglaia_cumingiana	Meliaceae	1	0	0	0	0	0
Aglaia_dookoo	Meliaceae	1	0	0	0	0	0
Aglaia_edulis	Meliaceae	1	0	0	0	0	0
Aglaia_elaeagnoidea	Meliaceae	1	0	0	0	0	0
Aglaia_euphorioides	Meliaceae	1	0	0	0	0	0
Aglaia_eximia	Meliaceae	1	0	0	0	0	0
Aglaia_exstipulata	Meliaceae	1	0	0	0	0	0
Aglaia_forbesii	Meliaceae	1	0	0	0	0	0
Aglaia_ganggo	Meliaceae	1	0	0	0	0	0
Aglaia_gigantea	Meliaceae	1	0	0	0	0	0
Aglaia_glabriflora	Meliaceae	1	0	0	0	0	0
Aglaia_grandis	Meliaceae	1	0	0	0	0	0
Aglaia_korthalsii	Meliaceae	1	0	0	0	0	0
Aglaia_lawii	Meliaceae	1	0	0	0	0	0
Aglaia_leptantha	Meliaceae	1	0	0	0	0	0
Aglaia_macrocarpa	Meliaceae	1	0	0	0	0	0
Aglaia_mariannensis	Meliaceae	1	0	0	0	0	0
Aglaia_merostela	Meliaceae	1	0	0	0	0	0
Aglaia_odoratissima	Meliaceae	1	0	0	0	0	0
Aglaia_oligophylla	Meliaceae	1	0	0	0	0	0
Aglaia_palauensis	Meliaceae	1	0	0	0	0	0
Aglaia_parksii	Meliaceae	1	0	0	0	0	0
Aglaia_roxburghiana	Meliaceae	1	0	0	0	0	0
Aglaia_rubiginosa	Meliaceae	1	0	0	0	0	0
Aglaia_saltatorum	Meliaceae	1	0	0	0	0	0
Aglaia_samoensis	Meliaceae	1	0	0	0	0	0
Aglaia_sapindina	Meliaceae	1	0	0	0	0	0
Aglaia_sexipetala	Meliaceae	1	0	0	0	0	0
Aglaia_silvestris	Meliaceae	1	0	0	0	0	0
Aglaia_speciosa	Meliaceae	1	0	0	0	0	0
Aglaia_spectabilis	Meliaceae	1	0	0	0	0	0
Aglaia_tenuicaulis	Meliaceae	1	0	0	0	0	0
Aglaia_tomentosa	Meliaceae	1	0	0	0	0	0
Aglaia_trichilia	Meliaceae	1	0	0	0	0	0
Aglaia_unifolia	Meliaceae	1	0	0	0	0	0
Aglaia_vitiensis	Meliaceae	1	0	0	0	0	0
Agonandra_brasiliensis	Opiliaceae	0	0	1	0	0	0
Agonandra_engleri	Opiliaceae	0	0	1	0	0	0
Agonandra_excelsa	Opiliaceae	0	0	1	0	0	0
Agonandra_peruviana	Opiliaceae	0	0	1	0	0	0
Agonandra_racemosa	Opiliaceae	0	0	1	0	0	0
Agonandra_silvatica	Opiliaceae	0	0	1	0	0	0
Agonandra_spegazzini	Opiliaceae	0	0	1	0	0	0
Agrostistachys_longifolia	Euphorbiaceae	1	0	0	0	0	0
Aidia_canthioides	Rubiaceae	1	0	0	0	0	0
Aidia_cochinchinensis	Rubiaceae	1	0	0	0	0	0
Aidia_congestum	Rubiaceae	1	0	0	0	0	0
Aidia_densiflora	Rubiaceae	1	0	0	0	0	0
Aidia_genipiflora	Rubiaceae	1	0	0	0	0	0
Aidia_micrantha	Rubiaceae	1	0	0	0	0	0
Aidia_ochroleuca	Rubiaceae	1	0	0	0	0	0
Aidia_parvifolia	Rubiaceae	1	0	0	0	0	0
Aidia_pycnantha	Rubiaceae	1	0	0	0	0	0
Aidia_racemosa	Rubiaceae	1	0	0	0	0	0
Aidia_wallichiana	Rubiaceae	1	0	0	0	0	0
Ailanthus_altissima	Simaroubaceae	1	0	0	0	0	0
Ailanthus_integrifolia	Simaroubaceae	1	0	0	0	0	0
Ailanthus_malabarica	Simaroubaceae	1	0	0	0	0	0
Ailanthus_moluccana	Simaroubaceae	1	0	0	0	0	0
Aiouea_densiflora	Lauraceae	1	0	0	0	0	0
Aiouea_dubia	Lauraceae	1	0	0	0	0	0
Aiouea_grandifolia	Lauraceae	1	0	0	0	0	0
Aiouea_longipetiolata	Lauraceae	1	0	0	0	0	0
Aiouea_maguireana	Lauraceae	1	0	0	0	0	0
Aiouea_saligna	Lauraceae	1	0	0	0	0	0
Aiouea_tomentella	Lauraceae	1	0	0	0	0	0
Aiphanes_aculeata	Arecaceae	1	0	0	0	0	0
Aiphanes_concinna	Arecaceae	1	0	0	0	0	0
Aiphanes_erinacea	Arecaceae	1	0	0	0	0	0
Aiphanes_ulei	Arecaceae	1	0	0	0	0	0
Airyantha_schweinfurthii	Leguminosae	0	0	0	0	0	1
Alafia_barteri	Apocynaceae	1	0	0	0	0	0
Alafia_thouarsii	Apocynaceae	1	0	0	0	0	0
Alangium_chinense	Cornaceae	1	0	0	0	0	0
Alangium_ebenaceum	Cornaceae	1	0	0	0	0	0
Alangium_faberi	Cornaceae	1	0	0	0	0	0
