allmb_name	gbif_species_key	num_occurrences	myco_state
Drypetes_gentryi	3075894	82	arbuscular
Drypetes_leonensis	3075681	264	arbuscular
Drypetes_aylmeri	3075687	156	arbuscular
Drypetes_polyneura	3075940	132	arbuscular
Sibangea_similis	3075608	178	arbuscular
Hirtella_racemosa	2985122	5842	arbuscular
Irvingia_gabonensis	5380976	1286	arbuscular
Microdesmis_puberula	3075543	1771	arbuscular
Ctenolophon_englerianus	3644242	76	arbuscular
Rhizophora_mangle	3086528	10115	neither
Astrocasia_tremula	3076386	514	arbuscular
Margaritaria_nobilis	5383279	4846	arbuscular
Flueggea_virosa	5382823	8231	arbuscular
Phyllanthus_urinaria	5382780	4925	arbuscular
Breynia_disticha	5383031	807	neither
Breynia_fruticosa	5383016	445	arbuscular
Breynia_rostrata	5383021	150	arbuscular
Sauropus_androgynus	9197670	735	arbuscular
Glochidion_zeylanicum	3080562	3172	arbuscular
Securinega_suffruticosa	5382858	3334	arbuscular
Hieronyma_oblonga	3079119	8395	arbuscular
Uapaca_littoralis	3079927	465	both
Uapaca_bojeri	3079924	848	both
Uapaca_thouarsii	3079875	323	both
Uapaca_togoensis	3079850	2047	ecto
Uapaca_vanhouttei	3079921	222	ecto
Uapaca_acuminata	3079856	161	ecto
Uapaca_staudtii	3079929	414	ecto
Bischofia_javanica	5383085	2830	arbuscular
Petalostigma_pubescens	3075165	5073	arbuscular
Bhesa_paniculata	3793960	625	arbuscular
Elatine_hexandra	5646074	9060	arbuscular
Cratoxylum_pruniflorum	7330024	953	arbuscular
Harungana_madagascariensis	3711847	3367	arbuscular
Hypericum_calycinum	3189497	2490	neither
Hypericum_revolutum	7330049	1454	arbuscular
Hypericum_maculatum	6437017	121505	arbuscular
Hypericum_hirsutum	7921919	49034	neither
Hypericum_humifusum	3189543	47323	neither
Hypericum_pulchrum	3712747	71034	arbuscular
Hypericum_linarioides	4933138	272	arbuscular
Hypericum_scabrum	3711829	780	neither
Hypericum_elegans	8212814	535	arbuscular
Symphonia_globulifera	8185162	5896	arbuscular
Calophyllum_brasiliense	5421069	3909	arbuscular
Mayna_odorata	3878638	2592	arbuscular
Goupia_glabra	3760960	1930	arbuscular
Fusispermum_laxiflorum	4075338	108	arbuscular
Rinoreocarpus_ulei	4076764	910	arbuscular
Allexis_cauliflora	4077432	265	arbuscular
Viola_hirta	5664290	88791	arbuscular
Viola_canina	5331258	108504	neither
Viola_wailenalenae	5331301	56	arbuscular
Viola_kitaibeliana	5331342	4709	neither
Viola_riviniana	7296321	211728	arbuscular
Viola_caucasica	9587544	39	neither
Viola_minuta	7296294	34	neither
Viola_mauritii	5663920	73	arbuscular
Viola_montana			arbuscular
Melicytus_ramiflorus	8112354	15820	arbuscular
Leonia_glycycarpa	7296446	2045	arbuscular
Passiflora_suberosa	2874173	8032	arbuscular
Lacistema_aggregatum	3075397	4857	arbuscular
Casearia_sylvestris	5331148	14513	arbuscular
Flacourtia_indica	5331162	3543	arbuscular
Salix_triandra	7103891	36211	ecto
Salix_chaenomeloides	7266635	1495	ecto
Salix_fragilis	5372829	69671	ecto
Salix_humboldtiana	5372914	2942	both
Salix_caroliniana	5373004	2782	ecto
Salix_amygdaloides	5372892	3089	ecto
Salix_phylicifolia	7266578	61552	ecto
Salix_rosmarinifolia	7104059	6221	ecto
Salix_lapponum	7104074	39449	ecto
Salix_aurita	5372876	151110	ecto
Salix_myrsinites	7704471	10669	ecto
Salix_atrocinerea	5582546	73338	ecto
Salix_acutifolia	7645931	1985	ecto
Salix_caspica	8228557	88	ecto
Salix_wilhelmsiana	7266734	195	ecto
Salix_arbuscula	7429900	3952	ecto
Salix_xerophila	7266684	359	ecto
Salix_blakii	5583827	79	ecto
Salix_canariensis	5583405	438	ecto
Salix_ledebouriana	5582759	83	arbuscular
Salix_xanthicola	5583157	17	ecto
Salix_xiaoguangshanica	5583119	1	ecto
Salix_xizangensis	5583114	0	ecto
Populus_pruinosa	3806067	79	ecto
Populus_balsamifera	3040184	20466	ecto
Populus_maximowiczii	7874619	1040	ecto
Populus_koreana	7874619	1040	ecto
Populus_suaveolens	7874619	1040	arbuscular
Populus_grandidentata	3040210	3373	ecto
Populus_angustifolia	3040196	1043	ecto
Populus_tomentiglandulosa			ecto
Populus_glandulosa			ecto
Populus_fremontii	3040237	2677	ecto
Populus_heterophylla	3040239	800	ecto
Populus_tristis	8254474	1	ecto
Populus_italica	3040227	102734	arbuscular
Populus_xiangchengensis	3804145	4	ecto
Populus_xiaozhuanica	3804138	4	ecto
Lasiochlamys_planchonellifolia	3879871	65	arbuscular
Tisonia_coriacea	3878297	209	arbuscular
Ophiobotrys_zenkeri	3879271	266	arbuscular
Oxalis_corniculata_f._rubrifolia	8427624	64168	arbuscular
Lepidobotrys_staudtii	3990273	318	arbuscular
Zinowiewia_concinna	3790880	182	arbuscular
Crossopetalum_rhacoma	5414291	1346	arbuscular
Euonymus_hamiltonianus	7102969	4320	arbuscular
Euonymus_maackii	7265494	1162	neither
Euonymus_laxiflorus	8394214	1094	arbuscular
Euonymus_fortunei	3169137	4977	arbuscular
Euonymus_oxyphyllus	3790832	5229	arbuscular
Euonymus_congolensis	7694426	34	arbuscular
Euonymus_costaricensis	3793590	301	arbuscular
Euonymus_gibber	3792832	60	arbuscular
Euonymus_hainanensis	3792543	21	arbuscular
Euonymus_rehderianus	3794305	92	arbuscular
Wimmeria_concolor	3791238	544	arbuscular
Celastrus_paniculatus	7265565	954	arbuscular
Schaefferia_frutescens	5414280	1106	arbuscular
Maytenus_acuminata	8531105	1481	arbuscular
Gymnosporia_senegalensis	3793847	5669	arbuscular
Torralbasia_cuneifolia	8640678	139	arbuscular
Bryonia_dioica	6422396	61712	arbuscular
Begonia_rex	4156721	151	arbuscular
Begonia_fusca	4158417	189	neither
Begonia_incarnata	7303486	399	arbuscular
Begonia_cucullata	2874717	2890	arbuscular
Begonia_metallica	7303486	399	arbuscular
Begonia_fruticosa	7303416	982	arbuscular
Begonia_parviflora	4158951	748	arbuscular
Hillebrandia_sandwicensis	2874709	136	arbuscular
Tetrameles_nudiflora	4205817	405	arbuscular
Coriaria_ruscifolia	3701768	1763	neither
Corynocarpus_laevigatus	3169083	1555	arbuscular
Anisophyllea_purpurascens	3658103	463	arbuscular
Combretocarpus_rotundatus	3658134	191	neither
Fuscospora_cliffortioides	2874925	11785	ecto
Fagus_sylvatica_var._atropunicea	2882316	446255	ecto
Chrysolepis_chrysophylla	5333315	1007	ecto
Lithocarpus_variolosus	5332670	239	neither
Lithocarpus_fenestratus	5332353	540	ecto
Lithocarpus_dealbatus	8857371	548	neither
Lithocarpus_hancei	5332494	2044	ecto
Lithocarpus_lucidus	5332710	227	ecto
Lithocarpus_sundaicus	5332541	569	ecto
Lithocarpus_cyrtocarpus	5332414	12	ecto
Lithocarpus_corneus	5332590	791	ecto
Lithocarpus_conocarpus	5332755	269	ecto
Lithocarpus_encleisocarpus	5332728	62	ecto
Lithocarpus_silvicolarum	5332741	171	ecto
Lithocarpus_rassa	5332654	49	ecto
Lithocarpus_ewyckii	5332535	205	ecto
Lithocarpus_formosanus	5332576	193	ecto
Lithocarpus_elmerrillii	5332775	3	ecto
Lithocarpus_hystrix	5332485	109	ecto
Lithocarpus_brachystachyus	5332484	6	ecto
Lithocarpus_longipedicellatus	5332819	53	ecto
Lithocarpus_lauterbachii	5332340	120	ecto
Lithocarpus_ducampii	5332808	0	ecto
Lithocarpus_curtisii	5333133	60	ecto
Lithocarpus_brevicaudatus	5332330	361	ecto
Lithocarpus_proboscideus	5332784	25	ecto
Lithocarpus_aggregatus	5332551	12	ecto
Lithocarpus_wrayi	5332829	70	ecto
Lithocarpus_propinquus	5332767	3	ecto
Lithocarpus_concentricus	5332888	5	ecto
Lithocarpus_maingayi	5332437	19	ecto
Lithocarpus_pseudovestitus	5332511	17	ecto
Lithocarpus_obovatilimbus	5332427	15	ecto
Lithocarpus_tenuilimbus	5332859	5	ecto
Lithocarpus_handelianus	5332475	41	ecto
Lithocarpus_elaeagnifolius	5332419	9	ecto
Lithocarpus_garrettianus	5332451	126	ecto
Lithocarpus_chiungchungensis	5332682	0	ecto
Lithocarpus_pattaniensis	5332723	8	ecto
Lithocarpus_skanianus	5332722	62	ecto
Lithocarpus_howii	5332653	21	ecto
Lithocarpus_fenzelianus	5332840	38	ecto
Lithocarpus_oleifolius	5332860	2	ecto
Lithocarpus_pseudosundaicus	5332528	16	ecto
Castanea_crenata	5333249	5114	ecto
Quercus_rotundifolia	2881550	1321016	ecto
Notholithocarpus_densiflorus_var._echinoides	3906623	2160	ecto
Engelhardia_spicata	7310512	738	ecto
Carya_illinoinensis	7445032	9638	ecto
Juglans_cinerea	3054352	5240	arbuscular
Platycarya_strobilacea	7148630	3315	arbuscular
Morella_pubescens	3744993	2137	neither
Gymnostoma_papuanum	2891811	288	neither
Casuarina_littoralis	2891918	21035	ecto
Betula_neoalaskana	5331916	416276	ecto
Potentilla_neumaniana	8182596	142896	arbuscular
Potentilla_anserina	5367246	335618	arbuscular
Potentilla_supina_subsp._paradoxa	5366090	12137	arbuscular
Potentilla_brauniana	5365854	301	arbuscular
Potentilla_pedata	8327079	477	arbuscular
Potentilla_gelida			neither
Potentilla_argentea_var._pseudocalabra	8011540	98431	arbuscular
Potentilla_indica_var._indica	8591421	28523	arbuscular
