werner_name,first_mismatch,new_state,old_state
Platycladus_orientalis,has_ecm,1,0
Platypodium_elegans,has_am,1,0
Poecilanthe_parviflora,has_am,1,0
Populus_alba,has_am,1,0
Populus_deltoides,has_am,1,0
Populus_euphratica,has_ecm,0,1
Populus_nigra,has_am,1,0
Populus_tremula,has_am,1,0
Populus_tremuloides,has_am,1,0
Populus_trichocarpa,has_am,1,0
Pourouma_bicolor,has_nm,0,1
Pourouma_tomentosa,has_am,1,0
Prosopis_glandulosa,has_am,1,0
Prosopis_laevigata,has_am,1,0
Prunus_avium,has_nm,1,0
Prunus_cerasifera,has_ecm,1,0
Prunus_domestica,has_nm,1,0
Prunus_laurocerasus,has_am,0,1
Prunus_maackii,has_nm,1,0
Prunus_mandshurica,has_nm,1,0
Prunus_padus,has_ecm,1,0
Prunus_serotina,has_ecm,1,0
Prunus_spinosa,has_ecm,1,0
Pseudotsuga_menziesii,has_am,1,0
Pterocarpus_officinalis,has_am,1,0
Pterocarpus_rohrii,has_am,1,0
Pueraria_montana,has_am,1,0
Pyrus_pyraster,has_ecm,1,0
Pyrus_ussuriensis,has_nm,1,0
Quercus_rubra,has_am,1,0
Recordoxylon_speciosum,has_nfix,0,1
Rhamnus_cathartica,has_nm,1,0
Rhamnus_davurica,has_nm,1,0
Rhododendron_mucronulatum,has_nm,1,0
Rhus_coriaria,has_am,0,1
Rhus_typhina,has_nm,1,0
Robinia_pseudoacacia,has_ecm,1,0
Rosa_davurica,has_nm,1,0
Rosa_multiflora,has_nm,1,0
Ruprechtia_apetala,has_am,1,0
Salix_alba,has_nm,1,0
Salix_babylonica,has_am,1,0
Salix_caprea,has_am,1,0
Salix_cinerea,has_am,1,0
Salix_gracilistyla,has_nm,1,0
Salix_purpurea,has_am,1,0
Salix_viminalis,has_am,1,0
Sambucus_canadensis,has_nm,0,1
Sambucus_nigra,has_am,1,0
Sambucus_racemosa,has_ecm,1,0
Scaevola_taccada,has_am,1,0
Senna_siamea,has_nfix,1,0
Sophora_chrysophylla,has_am,1,0
Sorbaria_sorbifolia,has_nm,1,0
Sorbus_aria,has_ecm,1,0
Sorbus_aucuparia,has_ecm,1,0
Sorbus_torminalis,has_ecm,1,0
Spartium_junceum,has_am,1,0
Spiraea_salicifolia,has_nm,1,0
Strombosia_grandifolia,has_nm,0,1
Stryphnodendron_guianense,has_am,1,0
Stryphnodendron_pulcherrimum,has_am,1,0
Swartzia_arborescens,has_am,1,0
Swartzia_cuspidata,has_am,1,0
Swartzia_panacoco_var,_sagotii,has_am,1,0
Swartzia_polyphylla,has_am,1,0
Swartzia_recurva,has_am,1,0
Syzygium_cumini,has_nm,1,0
Tachigali_myrmecophila,has_am,1,0
Tachigali_paniculata,has_am,1,0
Tamarix_gallica,has_am,1,0
Thuja_occidentalis,has_nm,1,0
Tilia_cordata,has_am,1,0
Tilia_platyphyllos,has_nm,1,0
Tipuana_tipu,has_am,1,0
Trevesia_palmata,has_nm,1,0
Tsuga_heterophylla,has_am,1,0
Uapaca_guineensis,has_am,1,0
Ulex_europaeus,has_am,1,0
Ulmus_glabra,has_nm,1,0
Ulmus_laevis,has_nm,1,0
Ulmus_minor,has_ecm,1,0
Ulmus_pumila,has_nm,1,0
Urera_baccifera,has_am,1,0
Viburnum_lantana,has_am,1,0
Viburnum_lentago,has_nm,0,1
Viburnum_tinus,has_nm,0,1
Ximenia_americana,has_am,1,0
Arbutus_unedo,has_er,1,0
