try_acc_species_id	try_acc_species_name	plant_growth_form	succulent	climber	parasitic	aquatic	epiphyte	crop	palmoid	woodiness
110	Abutilon grandiflorum	herb/shrub								non-woody/woody
111	Abutilon grantii	herb/shrub								non-woody/woody
112	Abutilon greveanum	shrub								woody
113	Abutilon guineense	shrub								woody
114	Abutilon hirtum	herb/shrub								non-woody/woody
115	Abutilon incanum	herb/shrub								non-woody/woody
116	Abutilon indicum	shrub								woody
117	Abutilon lauraster	herb/shrub								non-woody/woody
65067	Abutilon lepidum	shrub								woody
65068	Abutilon leucopetalum	shrub								woody
118	Abutilon longicuspe	shrub								woody
119	Abutilon matopense	herb/shrub								non-woody/woody
120	Abutilon mauritianum	herb/shrub								non-woody/woody
121	Abutilon menziesii	shrub								woody
122	Abutilon mitchelli	shrub								woody
123	Abutilon molle	herb/shrub								non-woody/woody
124	Abutilon mollissimum	shrub								woody
125	Abutilon muticum	shrub								woody
126	Abutilon otocarpum	shrub								woody
127	Abutilon oxycarpum	shrub								woody
128	Abutilon pannosum	herb/shrub								non-woody/woody
129	Abutilon parvulum	herb								non-woody
65069	Abutilon pseudocleistogamum	shrub								woody
130	Abutilon pycnodon	herb/shrub								non-woody/woody
131	Abutilon ramosum	herb/shrub								non-woody/woody
132	Abutilon reflexum	shrub								woody
133	Abutilon rehmannii	shrub								woody
134	Abutilon sandwicense	shrub								woody
135	Abutilon silvaticum	shrub								woody
136	Abutilon sonneratianum	shrub								woody
138	Abutilon sylvaticum	shrub								woody
139	Abutilon theophrasti	herb								non-woody
140	Abutilon theophrastii	herb								non-woody
141	Abutilon trisulcatum	shrub								woody
142	Abutilon umbellatum	herb/shrub								non-woody/woody
143	Acacia abyssinica	tree								woody
144	Acacia acanthoclada	shrub								woody
145	Acacia acanthophylla			climber						woody
146	Acacia acatlensis	shrub/tree								woody
147	Acacia accola	shrub/tree								woody
148	Acacia acinacea	shrub								woody
149	Acacia acradenia	shrub/tree								woody
65070	Acacia acrionastes	tree								woody
65071	Acacia acuifera	tree								woody
150	Acacia aculeatissima	shrub								woody
151	Acacia acuminata	shrub/tree								woody
152	Acacia adansonii	tree								woody
153	Acacia adenocalyx	shrub/tree		climber						woody
65072	Acacia adhaerens									woody
65073	Acacia adoxa	shrub								woody
154	Acacia adsurgens	shrub								woody
155	Acacia adunca	shrub/tree								woody
65074	Acacia aestivalis	shrub/tree								woody
156	Acacia alata	shrub								woody
157	Acacia albicorticata	tree								woody
158	Acacia albida	tree								woody
65075	Acacia alcockii	shrub								woody
72468	Acacia alemquerensis									woody
159	Acacia alleniana	tree								woody
160	Acacia allenii	tree								woody
161	Acacia altiscandens	tree								woody
162	Acacia amabilis	tree								woody
65076	Acacia amblygona	shrub								woody
163	Acacia ammobia	tree								woody
164	Acacia amoena	tree								woody
165	Acacia ampliceps	tree								woody
166	Acacia amythethophylla	tree								woody
65077	Acacia anceps	shrub								woody
167	Acacia ancistrocarpa	tree								woody
168	Acacia anegadensis	tree								woody
169	Acacia aneura	shrub/tree								woody
170	Acacia anfractuosa	tree								woody
171	Acacia angustissima	tree								woody
65078	Acacia anthochaera	shrub/tree								woody
65079	Acacia aphylla	shrub								woody
65080	Acacia aprica	shrub								woody
172	Acacia arabica	tree								woody
173	Acacia arenaria	shrub								woody
65081	Acacia arenosa	shrub/tree								woody
174	Acacia argyrophylla	tree								woody
175	Acacia armata	tree								woody
176	Acacia aroma	tree								woody
177	Acacia ascendens	tree								woody
65082	Acacia asepala	shrub								woody
178	Acacia aspera	tree								woody
179	Acacia assimilis	tree								woody
180	Acacia ataxacantha			climber						woody
181	Acacia atkinsiana	tree								woody
182	Acacia aulacocarpa	tree								woody
65083	Acacia aureocrinita	shrub								woody
183	Acacia auriculaeformis	tree								woody
184	Acacia auriculata	tree								woody
185	Acacia auriculiformis	tree								woody
186	Acacia ausfeldii	tree								woody
187	Acacia australis	shrub								woody
65084	Acacia baeuerlenii	shrub								woody
188	Acacia baileyana	tree								woody
189	Acacia bakeri	tree								woody
190	Acacia bancroftii	shrub/tree								woody
65085	Acacia barringtonensis	shrub								woody
62075	Acacia barteriana	shrub/tree								woody
191	Acacia baueri	tree								woody
72629	Acacia beadleana	shrub								woody
65086	Acacia beauverdiana	tree								woody
192	Acacia beckleri	tree								woody
62076	Acacia bellula	shrub								woody
193	Acacia berlandieri	shrub								woody
194	Acacia betchei	tree								woody
195	Acacia bidwillii	tree								woody
196	Acacia bifaria	tree								woody
62077	Acacia bilimekii	shrub								woody
197	Acacia binervata	shrub/tree								woody
198	Acacia binervia	tree								woody
199	Acacia bivenosa	tree								woody
200	Acacia blakei	tree								woody
201	Acacia blakelyi	tree								woody
202	Acacia blayana	tree								woody
203	Acacia bonariensis	shrub/tree								woody
204	Acacia boormanii	tree								woody
205	Acacia borleae	shrub/tree								woody
206	Acacia bossiaeoides	shrub/tree								woody
207	Acacia botrydion	tree								woody
208	Acacia brachybotrya	shrub								woody
209	Acacia brachystachya	tree								woody
210	Acacia brassii	tree								woody
211	Acacia brevispica	shrub								woody
212	Acacia browniana	tree								woody
213	Acacia brownii	shrub								woody
214	Acacia brumalis	tree								woody
65087	Acacia brunioides	shrub								woody
215	Acacia bulgaensis	shrub/tree								woody
216	Acacia burbidgeae	tree								woody
217	Acacia burkei	tree								woody
218	Acacia burkittii	shrub/tree								woody
65088	Acacia burrowii	shrub/tree								woody
65089	Acacia bussei	tree								woody
219	Acacia buxifolia	tree								woody
65090	Acacia caerulescens	tree								woody
65091	Acacia caesariata	shrub								woody
220	Acacia caesia	tree		climber						woody
221	Acacia caesiella	shrub/tree								woody
222	Acacia caffra	tree								woody
223	Acacia calamifolia	tree								woody
224	Acacia calcicola	tree								woody
225	Acacia cambagei	tree								woody
65092	Acacia campylophylla	shrub								woody
226	Acacia cana	shrub								woody
65093	Acacia cangaiensis	shrub/tree								woody
59287	Acacia capitata									woody
227	Acacia cardiophylla	tree								woody
65094	Acacia carens	shrub								woody
65095	Acacia caroleae	shrub/tree								woody
228	Acacia catechu	tree								woody
229	Acacia catenulata	tree								woody
230	Acacia caven	shrub								woody
231	Acacia cavenia	shrub/tree								woody
65096	Acacia cedroides	shrub								woody
65097	Acacia celastrifolia	shrub								woody
232	Acacia celsa	tree								woody
65098	Acacia cerastes	shrub								woody
233	Acacia chalkeri	tree								woody
234	Acacia chapmanii	tree								woody
235	Acacia chariessa	shrub								woody
236	Acacia cheelii	shrub/tree								woody
237	Acacia chisholmii	tree								woody
65099	Acacia choriophylla	shrub/tree								woody
238	Acacia chrysotricha	tree								woody
239	Acacia chundra	tree								woody
240	Acacia cincinnata	tree								woody
241	Acacia citrinoviridis	tree								woody
242	Acacia clandullensis	tree								woody
243	Acacia clivicola	shrub/tree								woody
244	Acacia clydonophora	tree								woody
245	Acacia cochliacantha	tree								woody
246	Acacia cognata	shrub/tree								woody
247	Acacia colei	shrub/tree								woody
248	Acacia colletioides	shrub								woody
249	Acacia collinsii	tree								woody
250	Acacia compacta	tree								woody
251	Acacia complanata	tree								woody
252	Acacia concurrens	tree								woody
253	Acacia conferta	tree								woody
254	Acacia confusa	tree								woody
255	Acacia congesta	tree								woody
256	Acacia constablei	tree								woody
257	Acacia constricta	shrub								woody
258	Acacia continua	tree								woody
259	Acacia coolgardiensis	tree								woody
260	Acacia coriacea	shrub/tree								woody
261	Acacia cornigera	tree								woody
262	Acacia costiniana	shrub								woody
263	Acacia coulteri	tree								woody
264	Acacia courtii	tree								woody
265	Acacia cowleana	tree								woody
266	Acacia craspedocarpa	tree								woody
65100	Acacia crassa	shrub/tree								woody
267	Acacia crassicarpa	tree								woody
268	Acacia crassiuscula	tree								woody
65101	Acacia cremiflora	shrub								woody
65102	Acacia crenulata	shrub/tree								woody
65103	Acacia cretacea	shrub/tree								woody
269	Acacia cultriformis	shrub/tree								woody
65104	Acacia cuneifolia	shrub								woody
270	Acacia cunninghamii	tree								woody
65105	Acacia cupularis	shrub								woody
271	Acacia curranii	tree								woody
272	Acacia cuthbertsonii	shrub/tree								woody
273	Acacia cyanophylla	tree								woody
274	Acacia cyclops	shrub/tree								woody
275	Acacia cyperophylla	tree								woody
276	Acacia dallachiana	tree								woody
277	Acacia davyi	shrub/tree								woody
278	Acacia dawsonii	tree								woody
279	Acacia dealbata	shrub/tree								woody
280	Acacia deanei	tree								woody
281	Acacia decora	shrub								woody
282	Acacia decurrens	tree								woody
283	Acacia deficiens	tree								woody
65106	Acacia depauperata	shrub/tree								woody
284	Acacia desmondii	tree								woody
65107	Acacia detinens	shrub/tree								woody
285	Acacia dictyoneura	tree								woody
286	Acacia dictyophleba	tree								woody
287	Acacia difficilis	tree								woody
288	Acacia difformis	tree								woody
289	Acacia diffusa	shrub								woody
290	Acacia dimidiata	shrub/tree								woody
291	Acacia discolor	tree								woody
65108	Acacia disparrima	tree								woody
65109	Acacia disticha	tree								woody
292	Acacia dodonaeifolia	tree								woody
293	Acacia dolichostachya	tree								woody
294	Acacia doratoxylon	shrub/tree								woody
295	Acacia drepanolobium	tree								woody
65110	Acacia drepanophylla	tree								woody
296	Acacia drummondii	tree								woody
297	Acacia dudgeoni	tree								woody
298	Acacia dunnii	tree								woody
65111	Acacia durabilis	shrub								woody
65112	Acacia duriuscula	shrub/tree								woody
65113	Acacia ebutsiniorum	tree								woody
299	Acacia echinula	tree								woody
300	Acacia edgeworthii	tree								woody
65114	Acacia effusa	shrub								woody
301	Acacia ehrenbergiana	tree								woody
65115	Acacia elachantha	shrub								woody
302	Acacia elata	tree								woody
303	Acacia elatior	tree								woody
304	Acacia elongata	tree								woody
65116	Acacia empelioclada	shrub								woody
65117	Acacia enterocarpa	shrub								woody
65118	Acacia eremophila	shrub								woody
65119	Acacia erinacea	shrub								woody
305	Acacia eriocarpa	shrub/tree								woody
306	Acacia erioloba	tree								woody
307	Acacia eriopoda	tree								woody
308	Acacia errabunda	tree								woody
309	Acacia erubescens	tree								woody
65120	Acacia erythrocalyx									woody
310	Acacia estrophiolata	tree								woody
311	Acacia etbaica	tree								woody
312	Acacia euthycarpa	tree								woody
313	Acacia excelsa	tree								woody
314	Acacia extensa	tree								woody
315	Acacia exuvialis	shrub/tree								woody
316	Acacia falcata	shrub								woody
317	Acacia falciformis	tree								woody
65121	Acacia farinosa	shrub								woody
318	Acacia farnesiana	shrub/tree								woody
319	Acacia fasciculata	tree								woody
320	Acacia fasciculifera	tree								woody
321	Acacia ferruginea	tree								woody
322	Acacia filicifolia	tree								woody
323	Acacia filifolia	tree								woody
324	Acacia fimbriata	shrub/tree								woody
65122	Acacia flabellifolia	shrub								woody
325	Acacia flavescens	tree								woody
326	Acacia fleckii	shrub/tree								woody
327	Acacia flexifolia	tree								woody
328	Acacia flocktoniae	tree								woody
329	Acacia floribunda	shrub/tree								woody
65123	Acacia floydii	shrub/tree								woody
65124	Acacia fragilis	shrub								woody
65125	Acacia frigescens	shrub/tree								woody
330	Acacia fulva	tree								woody
331	Acacia furcatispina	shrub								woody
332	Acacia gageana	tree								woody
65126	Acacia galeata	shrub/tree								woody
333	Acacia galpinii	tree								woody
334	Acacia gaumeri	tree								woody
335	Acacia genistifolia	shrub/tree								woody
336	Acacia gentlei	tree								woody
337	Acacia georgensis	shrub/tree								woody
338	Acacia georginae	tree								woody
339	Acacia gerrardii	tree								woody
65127	Acacia gillii	shrub/tree								woody
340	Acacia giraffae	tree								woody
341	Acacia gladiiformis	tree								woody
342	Acacia glandulicarpa	tree								woody
343	Acacia glauca	tree								woody
344	Acacia glaucescens	tree								woody
65128	Acacia glaucissima	shrub								woody
345	Acacia glaucocarpa	tree								woody
346	Acacia glomerosa	tree		climber						woody
347	Acacia gnidium	tree								woody
348	Acacia goetzei	tree								woody
349	Acacia gonocarpa	shrub/tree								woody
65129	Acacia gonoclada	shrub								woody
350	Acacia gordonii	tree								woody
351	Acacia gourmaensis	tree								woody
65130	Acacia gracilifolia	shrub								woody
352	Acacia graffiana	tree								woody
353	Acacia grandicornuta	tree								woody
354	Acacia granitica	tree								woody
355	Acacia grasbyi	tree								woody
356	Acacia greggii	shrub/tree								woody
65131	Acacia grisea	shrub								woody
357	Acacia gummifera	tree								woody
358	Acacia gunnii	tree								woody
359	Acacia haematoxylon	shrub/tree								woody
360	Acacia hakeoides	shrub								woody
65132	Acacia hamersleyensis	shrub/tree								woody
65133	Acacia hamiltoniana	shrub								woody
65134	Acacia hammondii	shrub								woody
361	Acacia hamulosa	tree								woody
362	Acacia harpophylla	tree								woody
65135	Acacia harveyi	shrub								woody
363	Acacia havilandii	shrub/tree								woody
364	Acacia havilandiorum	shrub/tree								woody
365	Acacia hayesii	shrub		climber						woody
366	Acacia hebeclada	shrub/tree								woody
367	Acacia hemignosta	tree								woody
368	Acacia hemiteles	tree								woody
369	Acacia hemsleyi	tree								woody
370	Acacia hereroensis	shrub/tree								woody
65136	Acacia heterochroa	shrub								woody
371	Acacia heteroclita	tree								woody
62083	Acacia heterophylla									woody
65137	Acacia hilliana	shrub								woody
372	Acacia hindsii	tree								woody
373	Acacia hispidula	tree								woody
374	Acacia hockii	shrub/tree								woody
65138	Acacia hohenackeri									woody
375	Acacia holosericea	shrub/tree								woody
376	Acacia homalophylla	tree								woody
377	Acacia horrida	tree								woody
378	Acacia howittii	tree								woody
65139	Acacia hubbardiana	shrub								woody
379	Acacia huegelii	shrub/tree								woody
380	Acacia humifusa	tree								woody
65140	Acacia hyaloneura	shrub/tree								woody
65141	Acacia imbricata	shrub								woody
381	Acacia implexa	shrub/tree								woody
382	Acacia inaequilatera	tree								woody
65142	Acacia incanicarpa	shrub								woody
65143	Acacia inceana	shrub								woody
383	Acacia ingramii	shrub/tree								woody
384	Acacia inophloia	tree								woody
385	Acacia insolita	tree								woody
386	Acacia iraqensis	shrub/tree								woody
387	Acacia irrorata	shrub/tree								woody
388	Acacia iteaphylla	tree								woody
389	Acacia ixiophylla	tree								woody
390	Acacia jennerae	tree								woody
391	Acacia johnwoodii	tree								woody
392	Acacia jonesii	shrub								woody
65144	Acacia jucunda	shrub								woody
65145	Acacia julifera	shrub/tree								woody
393	Acacia juncifolia	tree								woody
394	Acacia juniperina	tree								woody
65146	Acacia kamerunensis									woody
395	Acacia karroo	shrub/tree								woody
396	Acacia kempeana	shrub/tree								woody
397	Acacia kettlewelliae	tree								woody
398	Acacia kirkii	tree								woody
399	Acacia koa	tree								woody
400	Acacia koaia	tree								woody
401	Acacia kosiensis	tree								woody
402	Acacia kraussiana	tree								woody
403	Acacia kybeanensis	shrub								woody
65147	Acacia kydrensis	shrub								woody
404	Acacia laccata	tree								woody
65148	Acacia lachnophylla	shrub								woody
405	Acacia laeta	tree								woody
406	Acacia lamprocarpa	tree								woody
407	Acacia lanigera	tree								woody
408	Acacia lasiocalyx	tree								woody
65149	Acacia lasiocarpa	shrub								woody
409	Acacia lasiopetala	tree								woody
410	Acacia lateriticola	tree								woody
411	Acacia latescens	tree								woody
65150	Acacia latipes	shrub								woody
412	Acacia latisepala	tree								woody
413	Acacia latistipulata	shrub								woody
414	Acacia latzii	tree								woody
65151	Acacia lebbeck	tree								woody
415	Acacia legnota	tree								woody
416	Acacia leiocalyx	tree								woody
417	Acacia leiophylla	tree								woody
418	Acacia leprosa	tree								woody
419	Acacia leptocarpa	tree								woody
420	Acacia leptoclada	tree								woody
421	Acacia leptopetala	shrub								woody
65152	Acacia leptospermoides	shrub								woody
65153	Acacia leptostachya	shrub/tree								woody
422	Acacia leucoclada	tree								woody
65154	Acacia leucolobia	shrub								woody
423	Acacia leucophloea	tree								woody
424	Acacia leucophylla	tree								woody
425	Acacia ligulata	shrub/tree								woody
65155	Acacia ligustrina	shrub/tree								woody
426	Acacia linearifolia	shrub/tree								woody
427	Acacia linearis	shrub								woody
428	Acacia lineata	shrub								woody
429	Acacia lineolata	tree								woody
430	Acacia linifolia	shrub								woody
431	Acacia lirellata	tree								woody
65156	Acacia litakunensis									woody
432	Acacia littorea	shrub								woody
433	Acacia loderi	tree								woody
434	Acacia longifolia	shrub								woody
65157	Acacia longispicata	tree								woody
435	Acacia longispinea	tree								woody
436	Acacia longissima	shrub								woody
437	Acacia loretensis	tree								woody
438	Acacia lucasii	shrub								woody
439	Acacia luederitzii	shrub/tree								woody
440	Acacia lunata	tree								woody
441	Acacia lutea	tree								woody
442	Acacia lysiphloia	tree								woody
443	Acacia mabellae	tree								woody
444	Acacia macbridei	shrub		climber						woody
445	Acacia macilenta	tree								woody
446	Acacia macnuttiana	tree								woody
447	Acacia maconochieana	tree								woody
448	Acacia macracantha	tree								woody
449	Acacia macradenia	tree								woody
450	Acacia macrophylla	tree								woody
451	Acacia macrostachya	tree								woody
452	Acacia macrothyrsa	tree								woody
453	Acacia maidenii	tree								woody
454	Acacia maitlandii	tree								woody
455	Acacia mangium	tree								woody
456	Acacia matthewii	shrub/tree								woody
457	Acacia mayana	tree								woody
458	Acacia mearnsii	tree								woody
65158	Acacia megacephala	tree								woody
459	Acacia meiantha	tree								woody
460	Acacia meisneri	tree								woody
461	Acacia melanoceras	shrub/tree								woody
462	Acacia melanoxylon	tree								woody
65159	Acacia melleodora	shrub								woody
463	Acacia mellifera	shrub/tree								woody
464	Acacia melvillei	tree								woody
65160	Acacia menzelii	shrub								woody
62090	Acacia meridionalis	shrub/tree								woody
465	Acacia merrallii	tree								woody
65161	Acacia merrickiae	shrub								woody
466	Acacia microbotrya	tree								woody
467	Acacia microcarpa	tree								woody
468	Acacia millefolia	shrub/tree								woody
469	Acacia mimula	tree								woody
470	Acacia minutifolia	shrub								woody
471	Acacia mitchellii	tree								woody
472	Acacia modesta	tree								woody
473	Acacia mollifolia	tree								woody
474	Acacia mollis	tree								woody
475	Acacia mollissima	tree								woody
476	Acacia montana	tree								woody
477	Acacia monticola	tree								woody
478	Acacia montigena	shrub		climber						woody
479	Acacia montis-usti	tree								woody
480	Acacia mountfordiae	shrub								woody
481	Acacia mucronata	tree								woody
482	Acacia muelleriana	shrub/tree								woody
65162	Acacia multipinnata			climber						woody
483	Acacia multisiliqua	shrub/tree								woody
484	Acacia multispicata	tree								woody
485	Acacia murrayana	tree								woody
65163	Acacia mutabilis	shrub								woody
62092	Acacia myrmecophila	shrub/tree								woody
486	Acacia myrtifolia	shrub								woody
72630	Acacia nana	shrub								woody
65164	Acacia nanodealbata	shrub/tree								woody
487	Acacia nebrownii	shrub/tree								woody
65165	Acacia nematophylla	shrub								woody
488	Acacia neovernicosa	tree								woody
489	Acacia neriifolia	shrub/tree								woody
490	Acacia nervosa	tree								woody
65166	Acacia neurocarpa	shrub/tree								woody
491	Acacia neurophylla	tree								woody
492	Acacia nigrescens	tree								woody
65167	Acacia nigripilosa	shrub								woody
493	Acacia nilotica	tree								woody
494	Acacia nodiflora	tree								woody
495	Acacia notabilis	tree								woody
72631	Acacia nova-anglica	shrub								woody
62093	Acacia nubica	shrub/tree								woody
496	Acacia obliquinervia	tree								woody
497	Acacia obtusata	tree								woody
498	Acacia obtusifolia	tree								woody
499	Acacia occidentalis	tree								woody
500	Acacia oerfota	tree								woody
501	Acacia olgana	tree								woody
65168	Acacia olsenii	shrub/tree								woody
502	Acacia omalophylla	tree								woody
503	Acacia oncinocarpa	shrub/tree								woody
504	Acacia ophiolithica	tree								woody
505	Acacia oraria	tree								woody
506	Acacia origena	tree								woody
507	Acacia orites	tree								woody
508	Acacia oshanesii	tree								woody
509	Acacia oswaldii	shrub/tree								woody
510	Acacia oxycedrus	shrub								woody
511	Acacia pachycarpa	tree								woody
512	Acacia pallidifolia	tree								woody
513	Acacia paniculata	shrub/tree								woody
65169	Acacia paolii	shrub								woody
65170	Acacia papulosa	shrub								woody
514	Acacia papyrocarpa	tree								woody
515	Acacia paradoxa	shrub								woody
516	Acacia parramattensis	tree								woody
517	Acacia parvipinnula	tree								woody
65171	Acacia pedina	shrub/tree								woody
518	Acacia pellita	tree								woody
519	Acacia pendula	tree								woody
520	Acacia pennata	shrub/tree								woody
521	Acacia pennatula	tree								woody
522	Acacia penninervis	tree								woody
523	Acacia pentadenia	tree								woody
524	Acacia pentagona			climber						woody
525	Acacia perangusta	shrub/tree								woody
526	Acacia permixta	shrub/tree								woody
527	Acacia pervillei	tree								woody
528	Acacia peuce	tree								woody
529	Acacia phaeocalyx	tree								woody
530	Acacia phasmoides	tree								woody
65172	Acacia phlebocarpa	shrub								woody
72632	Acacia phyllodes	shrub/tree								woody
65173	Acacia piligera	shrub								woody
531	Acacia pilispina	shrub/tree								woody
532	Acacia pilligaensis	tree								woody
65174	Acacia pinguiculosa	shrub								woody
65175	Acacia pinguifolia	shrub								woody
533	Acacia pinnata	shrub								woody
534	Acacia planifrons	tree								woody
535	Acacia platycarpa	tree								woody
536	Acacia plectocarpa	tree								woody
537	Acacia plicata	tree								woody
65176	Acacia plumosa									woody
538	Acacia podalyriaefolia	tree								woody
539	Acacia podalyriifolia	shrub/tree								woody
540	Acacia polyacantha	tree								woody
541	Acacia polybotrya	tree								woody
542	Acacia polyphylla	tree		climber						woody
543	Acacia polystachya	tree								woody
544	Acacia praecox	tree								woody
545	Acacia prainii	shrub/tree								woody
65177	Acacia pravifolia	shrub								woody
546	Acacia pravissima	tree								woody
547	Acacia pringlei	tree								woody
548	Acacia prominens	tree								woody
65178	Acacia provincialis	shrub/tree								woody
549	Acacia pruinocarpa	tree								woody
550	Acacia pruinosa	tree								woody
65179	Acacia ptychoclada	shrub								woody
551	Acacia pubescens	tree								woody
552	Acacia pubifolia	tree								woody
553	Acacia pulchella	shrub								woody
554	Acacia purpusii	shrub/tree								woody
65180	Acacia pusilla	shrub								woody
65181	Acacia pustula	tree								woody
555	Acacia pycnantha	tree								woody
556	Acacia pycnostachya	tree								woody
557	Acacia pyrifolia	tree								woody
558	Acacia quadrilateralis	tree								woody
559	Acacia quadrimarginea	tree								woody
560	Acacia quornensis	tree								woody
65182	Acacia racospermoides	shrub/tree								woody
561	Acacia raddiana	tree								woody
562	Acacia ramulosa	shrub/tree								woody
563	Acacia redacta	shrub/tree								woody
564	Acacia reficiens	tree								woody
565	Acacia rehmanniana	tree								woody
566	Acacia repanda	tree								woody
567	Acacia resinimarginea	tree								woody
568	Acacia retinodes	tree								woody
65183	Acacia retivenea	shrub								woody
65184	Acacia rhetinocarpa	shrub								woody
65185	Acacia rhigiophylla	shrub								woody
65186	Acacia rhodophloia	shrub/tree								woody
569	Acacia rhodoxylon	tree								woody
570	Acacia riceana	tree								woody
571	Acacia richii	tree								woody
572	Acacia rigens	shrub								woody
573	Acacia rigidula	shrub/tree								woody
574	Acacia riparia	shrub/tree		climber						woody
575	Acacia robusta	tree								woody
576	Acacia robynsiana	tree								woody
65187	Acacia roemeriana	shrub/tree								woody
577	Acacia rossei	tree								woody
578	Acacia rostellifera	tree								woody
579	Acacia rothii	tree								woody
580	Acacia rovumae	tree								woody
581	Acacia rubida	tree								woody
582	Acacia rugata	shrub								woody
65188	Acacia rupicola	shrub								woody
65189	Acacia ruppii	shrub								woody
65190	Acacia sakalava	shrub								woody
583	Acacia saliciformis	tree								woody
584	Acacia salicina	tree								woody
585	Acacia saligna	shrub/tree								woody
586	Acacia schaffneri	tree								woody
587	Acacia schinoides	tree								woody
588	Acacia schweinfurthii	shrub/tree								woody
65191	Acacia scirpifolia	shrub/tree								woody
589	Acacia sclerophylla	tree								woody
590	Acacia sclerosperma	tree								woody
591	Acacia sekhukhuniensis	tree								woody
