allmb_name	gbif_species_key	num_occurrences	woody_state
Viola_wailenalenae	5331301	56	derived
Viola_comollia	7634278	11	non-woody
Viola_kitaibeliana	5331342	4709	non-woody
Viola_maviensis	5331329	119	derived
Viola_beckwithii	5331169	469	non-woody
Viola_cornuta	7628663	2626	non-woody
Viola_lanaiensis	5331187	44	derived
Viola_oahuensis	5331316	98	derived
Viola_praemorsa	7884309	1016	non-woody
Viola_riviniana	7296321	211728	non-woody
Viola_elatior	7707374	3954	non-woody
Viola_helenae	5331350	16	derived
Viola_altaica	5663831	297	non-woody
Viola_tianschanica	8377272	71	non-woody
Viola_cunninghamii	7296595	3072	non-woody
Viola_pensylvanica	5331338	7688	non-woody
Rinorea_pubiflora	7296209	1797	ancestral
Hybanthus_monopetalus	4077865	3571	non-woody
Pombalia_atropurpurea	8049834	630	non-woody
Pombalia_prunifolia	8195188	385	ancestral
Pombalia_calceolaria	8042869	1333	non-woody
Melicytus_ramiflorus	8112354	15820	ancestral
Leonia_glycycarpa	7296446	2045	ancestral
Malesherbia_linearifolia	7285783	159	non-woody
Barteria_fistulosa	5527829	1590	ancestral
Adenia_heterophylla	7313459	1209	non-woody
Adenia_volkensii	5527880	46	non-woody
Adenia_digitata	5527823	576	ancestral
Adenia_stenodactyla	5527610	30	non-woody
Adenia_repanda	5527633	139	non-woody
Adenia_rumicifolia	7313432	1929	ancestral
Adenia_venenata	5527888	110	ancestral
Adenia_glauca	5527800	131	ancestral
Adenia_gummifera	5527841	2306	ancestral
Adenia_hastata_var._glandulifera	7313466	140	non-woody
Adenia_macrophylla	7313421	445	non-woody
Basananthe_sandersonii	3587560	159	non-woody
Schlechterina_mitostemmatoides	3587688	126	ancestral
Passiflora_lutea	2874220	3508	non-woody
Passiflora_ligularis	2874198	799	non-woody
Passiflora_edulis	2874190	5690	ancestral
Passiflora_quadrangularis	2874183	1065	non-woody
Passiflora_vitifolia	2874186	1950	non-woody
Passiflora_foetida	2874211	16520	non-woody
Passiflora_riparia	3587529	196	non-woody
Passiflora_candollei	3586549	224	non-woody
Passiflora_tripartita_var._mollissima	2874196	1099	non-woody
Tricliceras_lobatum	4161072	172	non-woody
Arboa_antsingyae	8361185	17	ancestral
Erblichia_odorata	7303780	457	ancestral
Turnera_sidoides_subsp._integrifolia	7303703	956	non-woody
Turnera_panamensis	4161192	115	ancestral
Turnera_oculata	7403963	56	ancestral
Turnera_ulmifolia	2874852	2537	non-woody
Salix_caprea	5372952	344372	ancestral
Biophytum_sensitivum	3628231	661	non-woody
Averrhoa_carambola	2891641	2008	ancestral
Oxalis_corniculata_f._rubrifolia	8427624	64168	non-woody
Agelaea_pentagyna	8048616	3662	ancestral
Weinmannia_racemosa	7887332	34126	ancestral
Afrostyrax_lepidophyllus	3658833	546	ancestral
Lepidobotrys_staudtii	3990273	318	ancestral
Microtropis_japonica	8378552	635	ancestral
Siphonodon_celastrineus	3793902	550	ancestral
Crossopetalum_rhacoma	5414291	1346	ancestral
Denhamia_silvestris	7936642	3921	ancestral
Stackhousia_monogyna	7321087	12221	non-woody
Euonymus_europaeus	3169131	190965	ancestral
Celastrus_monospermus	3792919	492	ancestral
Celastrus_angulatus	4938976	506	ancestral
Celastrus_orbiculatus	8104460	9051	ancestral
Celastrus_stylosus	7265461	306	ancestral
Celastrus_scandens	3169171	3721	non-woody
Celastrus_subspicatus	3791202	1222	ancestral
Tripterygium_regelii	5579615	2587	ancestral
Schaefferia_frutescens	5414280	1106	ancestral
Maytenus_acuminata	8531105	1481	ancestral
Gymnosporia_senegalensis	3793847	5669	ancestral
Hippocratea_volubilis	3169012	5137	ancestral
Cheiloclinium_cognatum	3790743	3573	ancestral
Salacia_elliptica	8599572	1480	ancestral
Salacia_bussei	5579974	59	non-woody
Salacia_korthalsiana	5579481	155	ancestral
Salacia_macrophylla	7947497	324	ancestral
Salacighia_letestuana	3791314	316	ancestral
Elaeodendron_australe	7265549	3506	ancestral
Parnassia_palustris	3032585	115450	non-woody
Mortonia_scabrella	5414281	222	ancestral
Tricerma_vitis-idaeum	3791755	414	ancestral
Cucumis_melo	2874570	24752	non-woody
Cucumis_myriocarpus	7885624	3636	non-woody
Cucumis_rigidus	3624525	85	derived
Cucumis_metulifer	4939927	125	non-woody
Cucumis_oreosyce	3624911	393	non-woody
Cucumis_hirsutus	7894214	729	non-woody
Zehneria_scabra	7317735	1781	non-woody
Melothria_pendula	2874550	6411	non-woody
Coccinia_barteri	3624777	602	non-woody
Coccinia_adoensis	3624807	912	non-woody
Coccinia_grandis	2874564	2342	derived
Coccinia_senensis	3624122	26	non-woody
Coccinia_rehmannii	3624189	751	non-woody
Diplocyclos_palmatus	7317695	2118	non-woody
Solena_heterophylla	5536848	1544	non-woody
Acanthosicyos_horridus	8327014	99	derived
Citrullus_lanatus_subsp._vulgaris	2874621	21851	non-woody
Cayaponia_racemosa	2874614	1179	non-woody
Penelopeia_suburceolata	3622675	22	derived
Calycophysum_pedunculatum	7317788	150	non-woody
Cucurbita_pepo	2874508	16914	non-woody
Gurania_spinulosa	9065326	35	non-woody
Gurania_eriantha	3623682	680	ancestral
Psiguria_triphylla	3624442	953	derived
Psiguria_bignoniacea	3624043	1722	non-woody
Psiguria_warscewiczii	3624367	600	non-woody
Doyerea_emetocathartica	2874552	305	derived
Ibervillea_sonorae	7317774	276	ancestral
Dieterlea_fusiformis	3624166	89	derived
Corallocarpus_bainesii	3623632	141	non-woody
Corallocarpus_glomeruliflorus	7825611	46	derived
Kedrostis_foetidissima	3623873	553	non-woody
Dendrosicyos_socotranus	5792703	49	derived
Trichosanthes_anguina	2874605	1053	ancestral
Sicyos_lanceoloideus	3624426	82	derived
Sicyos_angulatus	2874655	2948	non-woody
Marah_macrocarpa	3622216	2624	non-woody
Echinocystis_lobata	5331404	4548	non-woody
Luffa_aegyptiaca	2874599	4497	non-woody
Bryonia_dioica	6422396	61712	non-woody
Cogniauxia_podolaena	3623906	584	non-woody
Momordica_charantia	2874581	9636	non-woody
Gomphogyne_cissiformis	3624285	56	non-woody
Sicydium_coriaceum	5537212	330	non-woody
Fevillea_cordifolia	2874555	777	ancestral
Gerrardanthus_macrorhizus	3624447	84	non-woody
Begonia_merrittii	4158256	77	derived
Begonia_isoptera	8009293	258	non-woody
Begonia_beryllae	4158030	55	derived
Begonia_robusta	8293709	156	non-woody
Begonia_sutherlandii	7303185	590	non-woody
Begonia_glabra	7303342	2189	non-woody
Begonia_reniformis	2874716	744	derived
Begonia_dichotoma	4157610	186	derived
Begonia_meyeri-johannis	4930932	357	derived
Begonia_oxyloba	4156666	623	non-woody
Begonia_ebolowensis	4157162	48	non-woody
Begonia_baccata	4930960	33	derived
Begonia_fruticosa	7303416	982	derived
Begonia_baramensis	4158232	53	derived
Begonia_congesta	4158677	22	derived
Begonia_crateris	4158409	5	derived
Begonia_keithii	4158245	2	derived
Begonia_lailana	4157849	8	derived
Begonia_paoana	4159121	2	derived
Begonia_parviflora	4158951	748	derived
Begonia_sarangica	8207906	0	derived
Begonia_serapatensis	4158048	0	derived
Begonia_sibutensis	4157869	5	derived
Datisca_glomerata	2874726	653	non-woody
Octomeles_sumatrana	4928823	32	non-woody
Tetrameles_nudiflora	4205817	405	ancestral
Coriaria_myrtifolia	3701787	9251	ancestral
Anisophyllea_disticha	3658093	339	ancestral
Pilostyles_aethiopica	3941216	51	ancestral
Quercus_rotundifolia	2881550	1321016	ancestral
Potentilla_erecta	7874143	411837	non-woody
Alchemilla_vulgaris	7890713	56176	non-woody
Alchemilla_cryptantha	3027938	452	non-woody
Alchemilla_johnstonii	3028684	248	derived
Alchemilla_haumanii	3027762	29	derived
Alchemilla_ellenbeckii	8270904	184	non-woody
Alchemilla_subnivalis	3027643	119	derived
Alchemilla_elgonensis	3028258	9	derived
Alchemilla_pinnata	3028143	412	non-woody
Alchemilla_verticillata	3025345	114	ancestral
Alchemilla_polylepis	3025383	167	derived
Alchemilla_orbiculata			non-woody
Alchemilla_glomerulans	3028402	9939	non-woody
Alchemilla_erythropoda	9034633	74	non-woody
Alchemilla_glaucescens	3027452	25076	non-woody
Alchemilla_conjuncta	3028431	1448	non-woody
Alchemilla_acutiloba			non-woody
Alchemilla_wichurae	3027538	7424	ancestral
Alchemilla_micans	3027791	15462	non-woody
Alchemilla_subcrenata	3028176	23037	non-woody
Alchemilla_monticola	3028763	46613	non-woody
Aphanes_australis	5365026	22455	non-woody
Comarum_palustre	3020532	190404	non-woody
Sibbaldia_procumbens	3025029	22430	non-woody
Sibbaldianthe_bifurca	3000723	1980	non-woody
Fragaria_vesca	3029817	313457	non-woody
Dasiphora_fruticosa	5370380	16633	non-woody
Cliffortia_ruscifolia	3029087	501	ancestral
Acaena_novae-zelandiae	5370755	24487	non-woody
Acaena_splendens	5370957	144	non-woody
Acaena_elongata	5370941	1357	derived
Acaena_ovalifolia	5370651	730	non-woody
Polylepis_australis	5370540	173	ancestral
Margyricarpus_pinnatus	3030248	821	non-woody
Margyricarpus_alatus	3030140	200	derived
Margyricarpus_ameghinoi	3030134	35	derived
Margyricarpus_acanthocarpus	3030153	21	derived
Margyricarpus_paucijugatus	3030147	17	derived
Sanguisorba_officinalis	3029627	101111	non-woody
Sarcopoterium_spinosum	3001879	5180	ancestral
Agrimonia_eupatoria	3001956	193231	non-woody
Hagenia_abyssinica	5370415	492	ancestral
Rosa_canina	3002461	266825	ancestral
Rubus_caesius	2995209	204411	ancestral
Rubus_saxatilis	2992808	101744	ancestral
Rubus_rosifolius	8234521	7025	ancestral
Rubus_spectabilis	2993761	7444	ancestral
Rubus_arcticus	2992051	28535	non-woody
Rubus_idaeus_subsp._strigosus	2993094	316843	ancestral
Rubus_odoratus	2994912	6448	ancestral
Rubus_chamaemorus	2998290	71393	non-woody
Rubus_rudis	7621087	5956	ancestral
Rubus_roseus	2995594	377	ancestral
Rubus_robustus			ancestral
Rubus_pubescens	2989228	4247	ancestral
Rubus_pinfaensis	2997990	469	ancestral
Rubus_canadensis	2991408	2406	ancestral
Rubus_discolor			ancestral
Rubus_vigorosus	2994312	1347	ancestral
Rubus_caucasicus	2990820	48	ancestral
Rubus_leucodermis	8110785	1583	ancestral
Rubus_hispidus	2991369	2385	ancestral
Rubus_sachalinensis	2995606	700	ancestral
Rubus_trivialis	2992760	2977	ancestral
Rubus_minusculus	2997621	150	ancestral
Rubus_moorei	8226333	187	ancestral
Rubus_nubigenus	2999848	454	ancestral
Rubus_parviflorus	2989557	9159	ancestral
Rubus_rigidus	8846087	699	ancestral
Rubus_argutus	2990801	3143	ancestral
Rubus_glaucus	2989746	426	ancestral
Rubus_chingii	2999165	209	ancestral
Rubus_senticosus	2990369	1388	ancestral
Rubus_koehleri	7458375	1992	ancestral
Rubus_nebulosus	2993068	1180	ancestral
Rubus_bertramii	2994551	1081	ancestral
Rubus_tereticaulis	2991290	750	ancestral
Rubus_alumnus	2992616	323	ancestral
Rubus_macrophyllus	2991019	4106	ancestral
Rubus_mollis	7850222	3355	ancestral
Rubus_anglocandicans	2991927	4606	ancestral
Rubus_ammobius	2994482	689	ancestral
Rubus_platyacanthus	2997354	925	ancestral
Rubus_scissus	2991652	2796	ancestral
Rubus_cissburiensis	2997787	288	ancestral
Rubus_tuberculatus	2997081	6996	ancestral
